index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	My pendant! [BLUE](She smiles as you give it to her)[] I wish I could offer you a reward for your heroism, but in my predicament I carry nothing with me. Maybe one day you can visit me in my court and be rewarded. 	¡Mi colgante! [BLUE](Sonrie cuando se lo das)[] Cómo me gustaría poder recompensarte, pero en mi situación, no tengo nada. Quizá si algún día visitas mi corte y recibas tu premio.	20	PlayerHasItem#2607	"LoseItem#2607;GainXP#800;SetVariable#princess_sea,90"	
1	Q	[BLUE](A strikingly beautiful woman stands very still, by the sea. You can see tears running down her cheeks)[]	[BLUE](Una mujer increiblemente hermosa permanece muy quieta, junto al mar. Ves lágrimas en sus mejillas)[]	2	VariableLower#princess_sea,30		
1	Q	Only when you get rid of Kakrak and retrieve my pendant I can get rid of this curse. And I will be deeply indebted to you, my friend.	Sólo cuando mates a Kakrak y recuperes mi colgante quedaré libre de la maldición. Y quedaré en deuda contigo.	0	VariableLower#princess_sea,90		
1	Q	[BLUE](Se can't talk at this moment.)[]	[BLUE](En este momento no puede hablar)[]	0			
2	A	Milady, this is no place for you to be, it is dangerous! Please follow me to the nearest town.	¡Señora, este no es lugar para una dama sola! Es peligroso. Por favor sígueme hasta la ciudad.	3			
2	A	Oh, it was true, you must be the princess! But this is no place to be alone, I should escort you to town.	¡Oh, era cierto, tú debes ser la princesa! Pero este no es un lugar seguro, debería escoltarte hasta la ciudad.	3	VariableEqual#princess_sea,10		
3	Q	[BLUE](She is startled by your voice, and quickly wipes her tears and composes herself)[] Greetings, noble traveller. I thank you for your good heart, but I have been cursed by a vile sorcerer, and I can't return home, nor go anywhere else. Please let me alone with my anguish.	[BLUE](Parece sorprendida por tu presencia, y limpia sus lágrimas)[] Saludos, buen viajero. Aprecio vuestro noble corazón, pero he sido maldecida por un vil hechicero y no puedo regresar a mi hogar, ni ir a otro lugar. Por favor, déjame sola con mi angustia.	4			
4	A	As you wish...	Como quieras...	0		SetVariable#princess_sea,20	
4	A	That's horrible. I will not tolerate it, tell me how I can help you.	Eso es horrible, no lo permitiré. Dime cómo podría ayudarte.	5		SetVariable#princess_sea,30	
5	Q	I appreciate your noble gesture, but I can not ask a stranger to risk his life for me.	Aprecio el gesto, pero no puedo pedir a un extraño que arriesgue su vida por mí.	6			
6	A	Huh, that's what I do, I risk my life for the most unfathomable reasons. Also, who says we're strangers. We can be friends. [BLUE](Smile)[]	Huh, pues a eso me dedico... Arriesgo mi vida por las causas más extrañas. Además, quién dice que somos extraños. Podemos ser amigos. [BLUE](Sonreir)[]	7		SetVariable#friendly_princess,1	
6	A	I insist. Tell me more about what happened, and how to break the curse, and I'll do it.	Insisto. Dime qué te ha ocurrido  y cómo romper la maldición y lo haré.	10			
7	Q	[BLUE](She blushes, and curtseys. You notice she moves with difficulty, as if she might lose her balance)[] I will not reject such a kind and gallant offer, both of friendship and aid. I am too much in need of both.	[BLUE](Se sonroja y hace una reverencia. Ves que se mueve con dificultad, como perdiendo el equilibrio)[] No rechazaré una oferta tan galante de amistad y de ayuda. Estoy demasiado necesitada de ambas.	8			
8	A	That's settled then, now tell me about this curse and how to break it.	Pues resuelto. Ahora cuéntame lo de esa maldición y cómo romperla.	10			
10	Q	I am Elleira, and my father is the wise king of an island unknown to your people. It is that way [BLUE](She points at the seas, to the southeast)[]. But a vile sorcerous monster called Kakrak, cast this curse on me, and now I can't return. Only if I recover my pendant, I will be free again.	Soy Elleira, y mi padre es un rey sabio que gobierna una isla que tu gente desconoce. Está hacia allí [BLUE](Señala al mar, al sureste)[]. Pero un vil monstruo y hechicero llamado Kakrak, me impuso esta maldición y no puedo regresar. Sólo si recupero mi colgante, seré libre de nuevo.	11			
11	A	But what is the curse exactly? Are you sick? You move a little oddly.	Pero ¿En qué consiste la maldición? ¿Estás enferma? Te mueves de forma extraña.	12			
12	Q	"I... I really don't want to talk about that. It is too horrible. Please if you want to help me, bring my pendant back. Kakrak hides in that old imperial sea fortress, north of here; I think it is now occupied by many monsters, so be careful."	Yo... No puedo hablar de eso, es demasiado horrible. Por favor, si quieres ayudarme, trae de vuelta mi colgante. Kakrak se esconde en esa antigua fortaleza imperial, al norte. Creo que la habitan muchos monstruos, así que ten cuidado.	0			
20	A	I grabbed a few trinkets while seizing the pendant, so it's alright. 	Conseguí algunas cosas mientras recuperaba el colgante, así que está bien.	25			
20	A	[BLUE](Take her hand)[] Have you forgotten? We are friends. Your smile is my reward. A pity that you must leave...	[BLUE](Tomar su mano)[] ¿No te acuerdas? Somos amigos. Tu sonrisa es mi recompensa. Una pena que debas marcharte...	21	"VariableEqual#friendly_princess,1;PlayerIsMale#"		PER#2
21	Q	I... I must leave but I can stay a few hours if you want. [BLUE](She blushes madly and looks away)[]	Yo... Me tengo que marchar, pero me puedo quedar unas pocas horas más, si quieres...  [BLUE](Se pone colorada y mira haca otro lado)[]	22			
22	A	I don't think that's appropiate, my princess. But we might meet again once I solve certain quest.	No creo que sea apropiado, mi princesa. Pero nos volveremos a ver una vez resuelva cierta misión.	25			
22	A	Let's spend that time together, my love. 	Pasemos ese tiempo juntos, mi amor.	23		SetVariable#friendly_princess,2	
23,hirge	Q	I find your lack of self-control... Disturbing. But I suppose there's nothing wrong with this. [BLUE](She walks towards the trees, to allow your privacy)[]	Encuentro tu falta de autocontrol... Molesta. Aunque supongo que no hay nada malo en esto. [BLUE](Se marcha hacia unos arboles cercanos para dejaros a solas)[]	24	NPCIsInParty#hirge,hirge		
23,mercenary_grisenda	Q	How romantic! just like in the old imperial epic tales! [BLUE](She smiles and walks towards the trees, to allow your privacy)[]	¡Que romántico! Igual que en las antiguas historias de caballeros del Imperio. [BLUE](Se marcha hacia unos arboles cercanos para dejaros a solas)[]	24	NPCIsInParty#grissenda,mercenary_grisenda		
