index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](Furulipo stands before the Cathedral of Nivarian, arms crossed, staring at the ancient stone facade with an expression of deep memory. When he sees you, his face changes. Something resolves in his eyes. A decision made.)[] It's time. *uncrosses arms* No more riddles. No more half-truths. You've walked far enough. Bled enough. You've earned what I'm about to tell you.	[BLUE](Furulipo se encuentra frente a la Catedral de Nivarian, brazos cruzados, mirando la antigua fachada de piedra con una expresión que mezcla reverencia y dolor. Al acercarte, se gira. Sus ojos son diferentes ahora, más abiertos, más vulnerables)[] Has venido. Sabía que lo harías. *voz baja* Este es el lugar donde todo comenzó. Donde mi Orden hizo su juramento. Y donde... *toca el medallón roto* ...donde todo terminó.	2		SetVariable#crusaders_oath,40	
2	A	Finally. I've been waiting for the truth.	Finalmente. He estado esperando la verdad.	3			
2	A	What's different this time?	¿Qué es diferente esta vez?	4			
2	A	I should go. (Leave)	Debo irme. (Salir)	0			
3	Q	*nods heavily* I know. And I'm sorry. Every conversation we've had, every half-answer, every deflection... it was necessary. But now? *looks at the Cathedral* Standing here, in the shadow of a place my Order helped BUILD... I can't hold it back anymore. But prepare yourself. What you hear next will change things between us.	*te mira directamente, sin artificios* Esta vez... te lo cuento todo. Sin acertijos. Sin medias verdades. Porque lo que te pida después... necesitas entender POR QUÉ. *señala la catedral* Ahí dentro, hace diez años, veinte caballeros juraron proteger los linajes de los descendientes Muud'ari. Yo era el más joven. Mi hermano Valor... era el líder.	5			
4	Q	You are. You've grown from a green adventurer into someone my Order would have been proud to count among its ranks. And more importantly... the enemy is moving. Faster than I expected. If I don't tell you now, I might not get another chance. So listen.	Todo. *señala la catedral* ¿Ves esas piedras? Tienen más de mil años. Construidas por personas que sabían que un día, los descendientes de los Muud'ari necesitarían protección. Mi Orden fue creada para ser esa protección. Y durante siglos... funcionamos. Hasta la noche en que alguien de DENTRO nos traicionó.	5			
5	Q	*deep breath* I've been carrying something. A burden. For ten years I've protected a secret about an object of terrible power. Something my Order spent generations trying to contain. I was the one guarding it. And I failed. *voice breaks* They took it. Used it to destroy everything I loved.	¿Quién los traicionó?	6			
6	A	[A] What was this object? Why couldn't your Order destroy it?	¿Qué le pasó a tu Orden exactamente?	7			
6	A	How did you find it?	Háblame de tu hermano.	8			
6	A	I should go. (Leave)	Debo irme. (Salir)	0			
7	Q	Destroy it? *laughs bitterly* Three generations tried. Fire, holy magic, ancient rituals. Nothing worked. It's not just an object. It's... alive, in a way. It feeds on the power of whoever holds it. Slowly. Painfully. Irreversibly. Some things in this world were never meant to be understood. Only contained.	*puños apretados* No lo sé. Esa es la parte que me ha consumido durante diez años. Alguien tuvo que abrir las puertas. Alguien tuvo que desactivar las protecciones. Alguien de DENTRO. Un hermano. Una hermana. Y murieron gritando mientras yo... *voz se quiebra* ...mientras yo fui el único que escapó.	8			
8	Q	*sits on Cathedral steps* The vault was hidden beneath this very Cathedral. My Order built it centuries ago to contain the most dangerous artifacts we recovered. The Crown was the worst. When I felt the wards weakening, I moved it. Hid it somewhere no one would look. And then I planted false trails to lead anyone searching for it in circles.	*cierra los ojos* Una masacre. Llegaron de noche. Sombras con forma humana. Mataron a los nuestros mientras dormían. Los pocos que despertamos... luchamos. Pero eran demasiados. Y tenían magia que nunca había visto. Magia que DRENABA la vida. Uno a uno cayeron. Hasta que solo quedé yo.	9			
9	A	Bishop Bareid's visions... that was you?	*voz cargada de emoción* Valor. El mejor hombre que he conocido. Sanador por naturaleza. Guerrero por necesidad. El que siempre encontraba una forma de salvar a todos. *voz más oscura* Esa noche... no pudieron matarlo. Era demasiado fuerte. Así que hicieron algo peor. Lo CONVIRTIERON. Un ritual oscuro. Lo transformaron en un Caballero de la Muerte. Y lo encerraron en la cripta con la [RED]Reliquia Solar[] que juró proteger. La última cruel broma.	10			
9	A	Where did you hide it?	¿Y ahora qué?	11			
9	A	I should go. (Leave)	¿Por qué me necesitas para esto?	0			
10	Q	*half smile* You're sharp. Yes. The visions were... guided. I planted magical resonances that would reach someone with Bareid's sensitivity. Breadcrumbs designed to lead the RIGHT person to investigate. My Order trained me in the art of subtle manipulation. We were protectors, strategists, not just swordsmen.	¿Puedo hablar con él? ¿Con lo que queda de él?	12			
11	Q	*taps nose* Somewhere no one would think to look. Under wards I spent years perfecting. But that's not important now. What's important is what I need from YOU. My brother... he was corrupted. Turned into something... wrong. A Death Knight. And HE guards something I need to reclaim.	Debo irme. (Salir)	12			
12	Q	*stands, becomes deadly serious* I was the last knight of my Order. Sworn to protect this land from threats most people can't even imagine. We guarded relics. Watched over bloodlines. Kept the darkness at bay. And then they came for us. Killed everyone. Everyone except me. And they took the one thing that makes my Order's power real.	*se levanta, determinado* Ahora... lo liberamos. Tú y yo. Juntos. La [RED]Cripta del Cruzado[] está en las montañas heladas cercanas. *te mira con intensidad* Necesito que vayas allí. Encuentres la entrada. Mates al Caballero de la Muerte. Y me traigas la [RED]Reliquia Solar[]. Sé que es mucho pedir. Pero no pediría si hubiera otra forma.	13			
13	A	Who took it?	*se sienta pesadamente* Porque no puedo hacerlo solo. No por falta de habilidad. Porque es mi HERMANO. *voz rota* Si voy allí... si miro a sus ojos... no sé si podré levantar mi espada. Y si dudo... él no lo hará. Me necesita muerto tanto como yo lo necesito libre. *te mira* Tú no lo conociste. Tú puedes hacer lo que yo no puedo.	14			
13	A	What does the Relic do?	*largo silencio* Tal vez. El medallón... *lo quita de su cuello* ...fue suyo antes que mío. Si alguna parte de él sigue ahí dentro... puede que lo reconozca. Puede que dude. Solo un instante. Pero en una pelea contra un Caballero de la Muerte... un instante es todo lo que necesitas.	15			
13	A	I should go. (Leave)	Lo haré. ¿Algún consejo para la pelea?	0			
14	Q	*voice like grinding stone* The same force that destroyed my Order. The servants of the shadow. They found our fortress. They killed my brothers. And they took the Relic to a crypt in the frozen mountains near [BLUE]Icemist[]. They gave it to one of their champions. A Death Knight. *jaw clenches* A man who was once MY BROTHER. My sword-brother. The one I trusted most. And they [RED]turned[] him.	¿Y si no puedo vencerlo?	16			
15	Q	It amplifies the connection between a knight and the old power. Without it, I'm just a man with a sword. WITH it... I become what I was meant to be. What my brothers and I were trained to be. A true guardian. *clenches fist* And right now, this land needs a guardian more than ever.	Necesito prepararme más antes de ir. (Salir)	16			
