index	type	text	text_ES	Go To	conditions	actions
1	Q	"As you approach the altar, you feel the might within it raising as a barrier; you are not welcome into the mysteries of The Three."	Cuando te acercas al altar, sientes que su poder alza una barrera para frenarte. No eres bienvenido a los Misterios de Los Tres.	0	VariableLower#REP_the_three,0	
1	Q	"This holy altar is unlike others you have seen through the land; it looks much older and less ornate than others, yet the power coming out of it gives you goosebumps. There is an inscription below it"	Este altar sagrado es diferente de otros que has visto por los Reinos. Parece más antiguo y simple, y menos decorado, pero el poder que lo envuelve te pone los pelos de punta. Hay una inscripción en la parte baja	2		
2	A	Read the inscription.	Leer la inscripción.	3		
2	A	Maybe another time.	Quizá en otro momento.	0		
3	Q	It says: 'Wisdom is priceless, but we'll give you a discount. Holy visions for just [BLUE]5,000[] gold!'	Dice: 'La sabiduría no tiene precio, pero ¡nosotros hacemos descuento! Visiones sagradas por solo [BLUE]5,000[] monedas'.	4	VariableLower#three_visions,1	
3	Q	It says: 'Ever wondered how our glorious church is funded? Wonder no more. Holy visions for just [BLUE]20,000[] gold!'	Dice: '¿Te has preguntado alguna vez cómo se financia nuestra gloriosa religión? Averígualo hoy. Visiones sagradas por sólo [BLUE]20,000[] monedas'.	5	VariableEqual#three_visions,1	
3	Q	It says: 'Filthy lucre and greed will only burden your soul, but we're here to help. Holy visions for just [BLUE]50,000[] gold!'	Dice: 'Las repugnantes riquezas y la avaricia pesarán sobre tu alma, pero nosotros estamos aquí para ayudar. Visiones sagradas por sólo [BLUE]50,000[] monedas'.	6	VariableEqual#three_visions,2	
3	Q	It says: 'True wisdom comes from emptiness. Now look at your bag, are you feeling wise today? Holy visions for just [BLUE]100,000[] gold!'	Dice: 'La verdadera sabiduría viene de estar vacío. Ahora mira tu bolsa y dime, ¿Te sientes sabio hoy? Visiones sagradas por sólo [BLUE]100,000[] monedas'.	7	VariableEqual#three_visions,3	
3	Q	It says: 'You're still there? Very well, you qualify for the ultimate Holy vision. It will be yours for just [BLUE]250,000[] gold!'	Dice: '¿Aun sigues ahí? Muy bien, eres digno de la Visión Sagradas definitiva. Puede ser tuya por sólo [BLUE]250,000[] monedas'.	8	VariableEqual#three_visions,4	
3	Q	It says: 'Holy Visions out of stock'	Dice: 'Visiones sagradas agotadas'.	0		
4	A	Very well, why not. [BLUE](Deposit 5,000 gold on the altar)[]	Muy bien, por qué no. [BLUE](Depositar 5,000 monedas en el altar)[]	11	PlayerHasGold#5000	"LoseGold#5000;SetVariable#three_visions,1;GainXP#2500"
4	A	Not really.	Me parece que no.	0		
5	A	Very well, why not. [BLUE](Deposit 20,000 gold on the altar)[]	Muy bien, por qué no. [BLUE](Depositar 20,000 monedas en el altar)[]	12	PlayerHasGold#20000	"LoseGold#20000;IncVariable#three_visions,1;GainXP#10000"
5	A	Not really.	Me parece que no.	0		
6	A	Very well, why not. [BLUE](Deposit 50,000 gold on the altar)[]	Muy bien, por qué no. [BLUE](Depositar 50,000 monedas en el altar)[]	13	PlayerHasGold#50000	"LoseGold#50000;IncVariable#three_visions,1;GainXP#20000"
6	A	Not really.	Me parece que no.	0		
7	A	Very well, why not. [BLUE](Deposit 100,000 gold on the altar)[]	Muy bien, por qué no. [BLUE](Depositar 100,000 monedas en el altar)[]	14	PlayerHasGold#100000	"LoseGold#100000;IncVariable#three_visions,1;GainXP#30000;GainTrait#"
7	A	Not really.	Me parece que no.	0		
8	A	Very well, why not. [BLUE](Deposit 250,000 gold on the altar)[]	Muy bien, por qué no. [BLUE](Depositar 250,000 monedas en el altar)[]	15	PlayerHasGold#250000	"LoseGold#250000;IncVariable#three_visions,1;GainXP#50000;GainSkillPoint#"
8	A	Not really.	Me parece que no.	0		
11	Q	"You enter a trance of confusing dreams. You see a mighty wizard, reciting a powerful incantation. Today is the great day, the one he has been working towards for decades. He raises a hand to cast the spell, and then... his hand trembles. He turns his face away and sees his own reflection in a distant mirror; what he sees fills him with despair."	"Entras en un trance de sueños confusos. Ves un hechicero de gran poder recitando un encantamiento. Hoy es el gran día por el que ha estado trabajando durante décadas; alza una mano para concluir el encantamiento y... Su mano tiembla. El mago vuelve el rostro a un lado y ve su reflejo en un espejo lejano. Lo que vé, le infunde pavor."	0		
12	Q	You enter a trance of confusing dreams. You see a mighty fortified town, greater than New Garand or any other you know. Yet it is destroyed by dark winds, its walls ripped apart as if they were made of wet paper. The screams of thousands of voices wake you up from the vision.	Entras en un trance de sueños confusos. Ves una poderosa ciudad fortificada, más grande que New Garand o ninguna otra que conozcas. Pero un viento oscuro empieza a destrozarla, desgarrando sus muros como si estuvieran hechos de papel mojado. Los gritos de miles de voces te despiertan de la visión.	0		
