index	type	text	text_ES	Go To	conditions	actions
1	Q	Gurr is a human being! And he gave you a key... I wonder why he didn't give it to me. Probably because if I leave, the fires will go off and the trolls will overrun this place.	¡Gurr es un ser humano! Y te ha dado una llave... Me pregunto por qué a mí no. Seguramente porque si me hubiera marchado, se habrían apagado los fuegos y los trolls habrían arrasado el lugar.	0	"VariableGreater#odd_couple,19;VariableLower#odd_couple,100"	
1	Q	Hello again, traveller.	Hola de nuevo, viajero.	0	VariableEqual#odd_couple,10	
1	Q	I really hoped the curse could be reverted... But I am grateful nonetheless. I wish you luck, adventurer.	Realmente esperaba que se pudiera deshacer la maldición... Pero aun así te estoy agradecida. Te deseo suerte, aventurero.	0	VariableEqual#odd_couple,100	
1	Q	This person has nothing to tell you.	Esta persona no tiene nada que decirte.	0	VariableGreater#odd_couple,100	
1	Q	Hello... We don't get many visitors here, make yourself comfortable.	Hola, no recibimos muchos visitantes por aquí, bienvenido.	2		
2	A	Watch out... A troll! Get behind me, m'lady!	Detrás de ti... ¡Un Troll! ¡Yo te protegeré, doncella!	3		
2	A	So, coming to live by the fens with a troll is a 'thing' now? Kids these days...	Pero... ¿vivir junto a los pantanos con un Troll está ahora de moda? Los jóvenes de hoy día...	4		
2	A	Sorry, I have to go.	Lo siento, me tengo que marchar.	0		
3	Q	Calm down, please. Gurr is harmless, and actually saved my life. And I am no 'Lady'. There's no danger here.	Cálmate, por favor. Gurr es inofensivo, y me salvó la vida. Y no soy ninguna 'doncella'. No hay ningún peligro aquí.	5		
4	Q	Your head seems to have taken too many troll Bashes. Leave us alone.	Me parece que tu cabeza se ha llevado demasiados golpes de los Trolls. Déjanos en paz.	5		
5	A	I understand... Wait, no, I don't understand what's going on here. Please explain.	Entiendo... Espera, no, no entiendo nada de lo que pasa aquí. Por favor, explícamelo.	6		
5	A	Shut up and step aside, that troll is going to burn.	Cierra el pico y hazte a un lado, ese troll va a arder...	50		
6	Q	My name is Renda Windstrike, a Thuramian knight of the Runeblade order. We are mystic-warriors, that travel the lands unveiling arcane mysteries and protecting those in need. A few months ago I was venturing into the trollfens, I was careless, and ended up being surrounded by three of them... and I saw another group running to us.	Mi nombre es Renda Windstrike, Caballero Thuramio de la Orden de la Espada Rúnica . Somos guerreros arcanos, que exploramos para descubrir secretos místicos, y ayudar a los necesitados. Hace algunos meses estaba explorando los pantanos de los trolls, cuando por un descuido me vi rodeada por tres de ellos... y otro grupo venía corriendo.	7		
7	A	That is bad, so what happened then?	Eso suena mal... ¿qué pasó entonces?	8		
8	Q	"I was able to hold three of them thanks to my magma blade, but I knew I would be beaten when the rest arrived. However, to my surprise, they weren't coming after me; it was one troll being chased by others. It was Gurr, of course, and luckily I didn't calcinate him with my blade. He positioned behind me, fighting back to back."	"Podía aguantar a tres gracias a mi espada de magma, pero sabía que al llegar los demás, estaba acabada. No obstante, no eran refuerzos, sino que un troll era perseguido por otros; Gurr, por supuesto. Por suerte no le calciné con mi espada, y pronto estábamos luchando espalda con espalda."	9		
9	A	I never heard of trolls behaving like that. And I have fought a lot of trolls, believe me.	Nunca había oido hablar de trolls comportándose así. Y he luchado con muchos trolls.	10		
10	Q	You are right. Look, I am Thuramiam... That means before coming to the Fens, I read a dozen books about trolls. And there are no stories about trolls helping humans. Some trolls can speak a few words and understand humans, but this one understands Imperial and even reads, yet can't speak.	"Tienes razón. Mira, yo soy de Thuram... Eso significa que antes de venir a los pantanos, leí una docena de libros. Nunca ayudan a un humano; Algunos pueden hablar y entender unas pocas palabras de Imperial, pero este, aunque no habla, entiende todo e incluso puede leer."	11		
11	A	So what happened? Why did you remain here?	¿Y qué pasó entonces? ¿Por qué estás aquí en vez de volver a casa?	12		
12	Q	"As a Runeblade, it is my duty to protect those that have fought along me. And the rest of trolls are, for some reason, obsessed with killing Gurr; if I leave, they'd be here as soon as the fire is put out. This will be my home, until I can conceive a better plan... or until we run out of lumber."	Como Espada rúnica, es mi deber proteger a los que han luchado a mi lado. Por algún motivo, los demás trolls están obsesionados con matar a Gurr, y si me marchase, estarían aquí tan pronto como el fuego se apagase. Este será mi hogar, hasta que se me ocurra un plan mejor... o me quede sin leña.	13		SetVariable#odd_couple,10
13	A	So you'd die for... A troll?	Así que morirías por... ¿un troll?	14		
13	A	Honor above all, I respect that. I wish you luck, if I find anything that can help you, I will be back.	"Honor por encima de todo, tienes mi respeto. Te deseo suerte; si encuentro algo que pueda ayudaros, estaré de vuelta."	0		
14	Q	I'd die fulfilling my duty, yes. Otherwise, why would I have taken my vows as a knight?	Moriría para cumplir mi deber, sí. De otro modo ¿por qué habría tomado mis votos?	0		
50	Q	[BLUE](Both the troll and the woman wield their weapons and attack you)[]	[BLUE](Tanto el troll como la mujer empuñan sus armas y te atacan.)[]	0		"SetVariable#odd_couple,110;NPCHostile#gurr"
