index	type	text	text_ES	Go To	conditions	actions
1	Q	My friend, I'd like to talk for a moment.	Amigo mio, me gustaría hablar un momento.	2		SetVariable#TMP_hirge_dream,1
2	A	Another time, Hirge. I am busy now.	En otro momento, Hirge. Ahora estoy ocupado.	3		
2	A	What's wrong? You look worried.	¿Qué te ocurre? Te noto preocupada.	4		
3	Q	Certainly. I'll remind you another time.	Por supuesto. Te lo recordaré en otro momento.	0		
4	Q	I've been having strange dreams. Unsettling. Since I was a child, my dreams often predicted things that happened elsewhere far away, so I think this might be important.	He estado teniendo sueños extraños. Inquietantes. Desde que era una niña, en mis sueños he visto cosas que estaban ocurriendo en lugares lejanos, así que esto puede ser importante.	5		
5	A	And what were these dreams about?	¿Y qué es lo que has soñado?	6		
6	Q	"A dark mountain, trembling. And one of my old teachers, Father Mantros, was praying. He looked frightened, despairing even; I think I should visit him and see if he needs my help."	"Una oscura montaña, temblando. Y uno de mis antiguos maestros, el Padre Mantros, rezaba y parecía asustado... Incluso desesperado; creo que debería visitarle y ver si necesita mi ayuda."	7		
7	A	Hirge, we are very busy. We can't go dream-chasing right now.	Hirge,e stamos ocupados. No podemos andar persiguiendo sueños ahora.	12		
7	A	I agree, that old man may be in danger. Where can we find him?	Estoy de acuerdo, ese anciano puede estar en peligro. ¿Dónde podemos encontrarle?	8		
8	Q	When he was my mentor he lived in Nivarian, but when I was twelve he left to the Sanctuary of Irossia, to act as the Head Priest there.	Cuando era mi mentor vivía en Nivarian. Pero cuando yo tenía doce años se marchó al Santuario de Irossia, como clérigo mayor.	9		
9	A	Irossia?	Irossia?	10		
10	Q	"Saint Irossia was the woman who first met Arbenos in the Thyr Mountains; a sanctuary was later raised on that Holy Place. Unfortunately, the northern lands of Ilmara are now wild and dangerous, no longer under the protection of the Mist Hunters or the Church. It can be a dangerous journey."	"Santa Irossia fue la mujer que encontró a Arbenos en las Montañas Thyr; en aquel lugar se construyó un santuario. Por desgracia, las tierras del norte de Ilmara son salvajes y ya no están bajo el control de los Cazadores de Niebla ni de la Iglesia. Puede ser un viaje muy peligroso."	11		
11	A	Very well, we'll go when we can.	Muy bien, iremos cuando podamos.	0		SetVariable#ancient_seal,10
12	Q	Of course, we have other pressing matters at hand. But when we have time we should travel to Irossia and meet Father Mantros.	Por supuesto, tenemos otros asuntos ahora. Pero cuando sea posible deberíamos it a Irossia y visitar al Padre Mantros.	11		
