index	type	text	text_ES	Go To	conditions	actions
1	Q	We need to locate [BLUE]three magical rubies[], which are probably in the hands of the Blue Mages. With them I'll be able to activate the bridge that leads to the Temple of the Flame.	Necesitamos encontrar [BLUE]Tres Rubíes Mágicos[] que posiblemente tienen los Magos Azules. Con ellos seré capaz de activar el puente que lleva al Templo de la Llama.	50	"NPCisInParty#IM_breno,IM_breno;VariableLower#sewer_horrors,60"	
1	Q	Let's see what can we do to stop the leader of the Red Mages...	Veamos qué podemos hacer para acabar con el lider de los Magos Rojos...	50	"NPCisInParty#IM_breno,IM_breno;VariableLower#sewer_horrors,70"	
1	Q	We stopped Saradan, my duty is fulfilled.	Hemos detenido a Saradan y mi deber está cumplido.	0	"NPCisInParty#IM_breno,IM_breno;VariableLower#sewer_horrors,80"	
1	Q	[BLUE](The knight looks at the burning landscape and the purple sky in disbelief)[] Only a madman like Saradan could open a portal to this place. 	[BLUE](El caballero mira a la tierra ardiente y el cielo morado sorprendido)[]. Solo un loco como Saradan podría abrir un portal a este lugar.	60	"NPCisInParty#IM_breno,IM_breno;VariableLower#sewer_horrors,90"	
1	Q	[BLUE](The land around you is burning, but Breno points at the blue sky and smiles)[] We did it! We returned to my beloved Thuram! I will now Recall to my father before he sends more people into the sewers after me. I hope to meet you soon at Icemist.	[BLUE](La tierra a tu alrededor está ardiendo, pero el caballero señala sonriendo al cielo azul)[] Lo hicimos! Hemos vuelto a mi amado Thuram. Ahora me teleportaré hasta mi padre para evitar que siga enviando a gente en mi busca. Espero verte en Icemist.	0	"NPCisInParty#IM_breno,IM_breno;VariableLower#sewer_horrors,100"	"SetVariable#sewer_horrors,100;GainXP#20000;NPCStopFollowing#;IncVariable#REP_thuram,12;NPCDespawn#IM_breno"
1	Q	[BLUE](This knight surrounded by the corpses of his comrades is ready to fight, but when he notices you are not the monsters he expected, he lowers his blade)[] A rescue party? I didn't expect you. Sorry about the traps.	[BLUE](Este caballero rodeado por los cadáveres de sus compañeros está listo para luchar, pero cuando se da cuenta de que no eres un monstruo baja el arma)[] ¿Una misión de rescate? No os esperaba. Lamento lo de las trampas.	2	VariableEqual#sewer_horrors,30	SetVariable#sewer_horrors,40
1	Q	Greetings again. Have you considered my proposal about taking out the Red Mages?	Saludos de nuevo. ¿Has pensado en mi propuesta de unirnos contra los Magos Rojos?	12	VariableEqual#sewer_horrors,40	
1	Q	My friend, I am so glad to see you around. If you're thinking of heading down to the sewers, I'm afraid I can't join this time. And remember the staircase is still sealed, you won't be able to use it to return to Icemist...	Amigo mio, me alegro de verte. Si estás pensando en volver a las alcantarillas me temo que esta vez no puedo seguirte. Recuerda que por esta escalera no podrás regresar a Icemist...	0	VariableEqual#sewer_horrors,100	
1	Q	No time to talk.	No hay tiempo de hablar.	0		
2	A	Well... Not exactly. We came down here because we talked to your father, but the staircase has been sealed. I was hoping you'd know of another way out.	"Bueno... No exáctamente. Hemos venido tras hablar con tu padre pero las escaleras han sido selladas. No tenemos forma de regresar a la ciudad; esperaba que tú conocieras otra salida."	3		
3	Q	"Sealed?! I guess I should have accepted that 'hunting invitation' from the Queen a month ago... I guess she doesn't enjoy being rejected. Now we'll never leave this place; it is a risk I always knew I was taking but my father shouldn't have sent you after me. Thanks for it, feel free to rest at my camp and remain here as long as you wish."	"¿¡Sellada!? Quizá debería haber aceptado esa 'invitación de cacería' de la Reina hace un mes. Parece que no le hace gracia que la rechacen. Nunca saldremos de este lugar; es un riesgo que siempre he sabido que corría, pero mi padre nunca debería haberte enviado aquí. Te lo agradezco, y lo menos que puedo hacer es ofrecerte la hospitalidad de este escondite. Descansa aquí cuanto quieras."	4		
4	A	The Queen locked you down here purposefully. Charming. But there must be a way out. There's always a way out.	¿La Reina te ha encerrado aquí abajo a propósito? Encantador. Pero tiene que haber una salida. Siempre hay una salida.	5		
5	Q	If there was a way, all the powerful sorcerers banished here would use it and escape. Don't delude yourself, this place is unescapable.	Si hubiera una salida, los poderosos magos desterrados aquí ya se habrían ido. No te engañes, de este lugar no hay escapatoria.	6		
6	A	That's... Just great. So why did you come here? What happened to your men?	Eso es.. Genial. ¿Cómo terminaste aquí? ¿Qué le ocurrió a tus hombres?	7		
