index	type	text	text_ES	Go To	conditions	actions	
1	Q	[BLUE](The soldier finishes a rum bottle before addressing you)[] Welcome to the Friguld gate, where the Governor's guards work for your safety. The gate tax is [BLUE]100 gold[].	[BLUE](El soldado termina una botella de ron antes de dirigirse a tí)[] Bienvenido a la Puerta de Friguld, donde la guardia del Gobernador vela por tu seguridad. El impuesto de la puerta es de [BLUE]100 monedas[].	2		SetVariable#TMP_H6_gate,1	
2	A	Sure, here's the money. 	De acuerdo, aquí está el dinero. 	3	PlayerHasGold#100		
2	A	I don't have that much money!	¡No tengo tanto dinero!	10	PlayerHasntGold#100		
2	A	I am not going to pay.	No voy a pagar.	4			
2	A	Hey, you finished that bottle? Here, have another one.	Hey, ¿Se te terminó la botella? Aquí tienes otra.	20	PlayerHasItem#5026		
3	Q	Thanks for your contribution, traveller. Now we can purchase some refreshment to continue with our duty diligently. [BLUE](The guards laugh)[]. And in case you're in Friguld for business, remember there's a big reward for those willing to work for it.	Gracias por contribuir, viajero. Ahora podemos comprar algo de beber para continuar con nuestro deber de forma diligente. [BLUE](Los hombres se rien)[]. Y si has venido a Friguld por negocios, recuerda que hay una buena recompensa para alguien que se la quiera ganar.	50		LoseGold#100	
4	Q	Oh? And why is that? [BLUE](You see the guards tensing up)[]	¿Ah no? Y ¿Por qué? [BLUE](Los guardias se ponen nerviosos)[]	5			
5	A	[BLUE](Intimidating)[] Because if you dare to waste my time one more second, I will kill you. Just like I kill manticores or dragons when they pester me.	[BLUE](Intimidating)[] Porque si os atrevéis a hacerme perder otro segundo, os mataré. Igual que aplasto a mantícores o dragones cuando me fastidian.	40			PER#3
5	A	I work for the Governor. Let me alone or you'll stand guard in the middle of the desert.	Trabajo para el Gobernador. Dejadme en paz o montaréis guardia en mitad del desierto.	40	VariableGreater#REP_friguld_governor,0		
5	A	I've never paid to enter a town. You're just making up that tax and I refuse to pay, you bastards.	Nunca he pagado por entrar a una ciudad. Os estáis inventando ese impuesto y me niego a pagar, malditos bastardos.	30			
5	A	Just kidding! Here is the money.	¡Sólo bromeaba! Aquí está el dinero.	3	PlayerHasGold#100		
10	Q	Bah, pathetic. I guess you can pass this time.	Bah, patético. Supongo que por esta vez puedes pasar.	0			
20	Q	That's good, friend. You may pass! And in case you're in Friguld for business, remember there's a big reward for those willing to work for it.	¡Eso está bien, amigo! Puedes pasar. Y si has venido a Friguld por negocios, recuerda que hay una buena recompensa para alguien que se la quiera ganar.	50		LoseItem#5026	
30	Q	Get him, boys!	¡A por él, chicos!	0		"DecVariable#REP_friguld_governor,25;NPCHostile#guard;NPCHostile#captain"	
40	Q	We made a mistake here, obviously. You may pass.	Hemos cometido un error, claro. Puedes pasar.	0		SetVariable#friguld_gate,1	
50	A	Not interested, thanks.	No me interesa, gracias.	0	VariableLower#snake_gang,10		
50	A	What's that bounty about?	¿Recompensa? Me interesa.	51	VariableLower#snake_gang,10		
50	A	I already know about the Snake.	Ya sé lo de La Serpiente.	0	VariableGreater#snake_gang,0		
51	Q	It's that damn bandit gang, led by the Snake. The Governor is enraged, since he somehow managed to steal his wife's jewels. The reward is [BLUE]3,000 gold[] believe it or not, but he's probably the deadliest swordman in the south, and nobody has a clue where to find him either...	Es esa maldita banda de ladrones liderados por La Serpiente. El Gobernador está furioso desde que robaron las joyas de su esposa, y lo creas o no ofrece una recompensa de [BLUE]3,000 monedas[]. Pero La Serpiente es posiblemente el mejor espadachin del sur, y nadie sabe dónde se esconde.	0		SetVariable#snake_gang,10	
