index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Go in... You must end this for me...	Entra... Debes acabar esto por mí...	0	VariableEqual#web_terror,40	"ItemHide#barrier1;ItemWalkable#barrier1"	
1	Q	I am here. Here. Finally, all the time inside, all will end...	Estoy aquí. Aquí. Después de tanto tiemp... Tan profundo... Por fin terminará...	2			
2	A	Um... Sure. Just do something to open the barrier.	Um... Claro. Pero abre la barrera mágica.	3			
2	A	Are those corpses there what remains of your men?	¿Son esos de cadáveres de ahí los restos de tus hombres?	4			
3	Q	Yes, yes, I promised. Fifty. I will open the barrier. [BLUE](The man places a hand inside a pocket, and some blue light gleams out. The barrier suddenly vanishes!)[]	Sí, sí, lo prometí. Cincuenta. Abriré la barrera. [BLUE](El hombre mete una mano en su bolsillo, y de ahí brota una luz azulada. ¡La barrera se desvanece!)[]	0		"SetVariable#web_terror,40;ItemHide#barrier1;ItemWalkable#barrier1"	
4	Q	[BLUE](His still functional eye passes over the corpses, then fixates back on you)[] Good men. Good men. They served well. Now, I open the barrier and you go inside. Must be fifty.	[BLUE](El ojo que aun le funciona pasa por los cadáveres, luego se fija en tí)[] buenos hombres. Buenos. Ahora abriré la barrera y pasarás. Deben ser cincuenta.	5			
5	A	Let's not waste time. Open the barrier.	No perdamos el tiempo, abre la barrera	3			
5	A	Wait a minute... You don't even care about your lost friends. I can't trust you. Give me that magical key, and begone.	Un momento... Ni siquiera te importan tus compañeros caidos. Dame esa llave mágica y márchate.	6			PER#2
5	A	One moment, I have something else to do first.	Un momento, antes tengo que hacer otra cosa.	0			
5	A	I just realized... your men couldn't get out, yet you did. How can I trust you to keep the barrier open for me? I want to see that key you have and how it works.	Me doy cuenta de que... tus compañeros no puedieron salir, pero tú sí. ¿Puedo fiarme de que mantengas la barrera abierta? Quiero ver esa llave y cómo funciona.	7			INT#3
6	Q	No! It must be fifty! Fifty! [BLUE](The gleam of madness in his eyes intensifies as he leaps upon you like a beast. He attacks you with unnatural might and speed)[]	¡No! ¡Tienen que ser cincuenta! ¡cincuenta! [BLUE](sus ojos brillan enloquecidos al saltar sobre tí. Te ataca con una fuerza y velocidad sobrehumanas)[]	0		"SetVariable#web_terror,25;NPCHostile#madman_sargos"	
7	Q	[BLUE](He looks suddenly confused, anxious)[] Trust me! Go inside!	[BLUE](Parece de pronto muy confuso, y ansioso.)[] ¡confía en mí! ¡entra!	8			
8	A	Show me that key first, or I'll just walk away from this.	Enséñame antes la llave, o me marcharé de aquí.	9			
8	A	Very well, I will trust you. Open the barrier.	Muy bien, confiaré en tí. Abre la barrera.	3			
9	Q	No! Don't leave. Look, this is it. This will open the barrier! [BLUE](He pulls out a blue gemstone, and shows it to you. He looks immensely distressed)[]	¡No! No te marches. ¡Esto abrirá la barrera, mira! [BLUE](Saca una gema azulada, y te la muestra. Parece cada vez más nervioso)[]	10			
10	A	Very well, I will trust you. Open the barrier.	Muy bien, confiaré en tí. Abre la barrera.	3			
10	A	Hmmm a magical keystone... If it is destroyed, the barrier will be gone forever. [BLUE](Slap the gem out of his hand, then try to crush it)[]	Hmmm una piedrallave mágica... Si fuera destruida, la barrera desaparecería para siempre. [BLUE](Intentar tirarla de un manotazo, y luego aplastarla)[]	11			INT#3
11	Q	[BLUE](Skillfully, you make the gem fall, then stomp it with your heel. Before Sargos can react, the gem is shattered, and the blue barrier dissolves into nothingness....)[] Noooo! the Lady will never free me now! I promised her fifty men! Fifty hosts, and only one remained to be free!	 [BLUE](Hábilmente, tiras la gema de un manotazo. Antes de que Sargos pueda reaccionar, la has aplastado con tu talón. La barrera azul desaparece)[] ¡Noooooo! ¡Ahora la dama nunca me perdonará... le prometí cincuenta hombres! Cincuenta, y sólo me faltaba uno para ser libre!	12		"SetVariable#web_terror,70;NPCDespawn#madman_sargos;ItemHide#barrier1;ItemWalkable#barrier1"	
12	A	What in the name of The Three are you saying...	Pero qué demonios dices...	13			
13	Q	[BLUE](The man screams and runs away before you can react... But you notice something horrifying. A small white spider, moving inside his ear.)[]	"[BLUE](Sargos aulla y huye corriendo, pero te fijas en un detalle horripilante; una araña blanca asoma ligeramente desde dentro de su oido)[]"	0			
