index	type	text	text_ES	Go To	conditions	actions
1	Q	Found that lair yet?	Encontraste esa guarida?	15	"VariableGreater#prisoner_orcs,9;VariableLower#prisoner_orcs,90"	
1	Q	That's my friend Niur! I can't believe it. Here, have this amulet, it has belonged to my family for years. And I'll tell everyone how you saved my friend, you're a true hero.	¡Es mi amigo Niur! No pensé que fuera posible. Toma, ten este amuleto, ha pertenecido a mi familia durante generaciones. 	0	VariableEqual#prisoner_orcs,90	"Disband#niur;SetVariable#prisoner_orcs,100;GainXP#500;GainItem#4001;IncVariable#REP_varannari,4;IncVariable#REP_varsilia,2"
1	Q	Hey there, friend. Here, have a beer.	Hola amigo. Toma, bebe una cerveza.	0	VariableEqual#prisoner_orcs,100	
1	Q	I heard what happened. Well, you tried to help.	He oido lo que pasó. Bueno, intentaste ayudar.	0	VariableEqual#prisoner_orcs,200	
1	Q	Are you an orc???	Eres un orco???	2	"VariableLower#areyouanorc,1;VariableLower#prisoner_orcs,10"	SetVariable#areyouanorc,1
1	Q	Hey there. You still look like an orc.	Hola. Todavía pareces un orco.	4		
2	A	Do I look like an orc?	Tengo aspecto de orco?	3		
2	A	Yez! me iz ork!	Zi!! zoy un orko!!!	3		
2	A	Of course not. Calm down.	Por supuesto que no. Tranquilo.	3		
3	Q	Hmm. You're ugly and smell poorly, but no, I guess you're not an orc	Hmm. Eres feo y apestas, pero supongo que no eres un orco.	4		
4	A	You look more like an orc than I do. Who are you anyways?	Pareces un orco más que yo. Pero quién eres?	5		
4	A	Thanks... I guess. I must be on my way.	Gracias... Supongo. Me tengo que ir.	0		
5	Q	I'm Usham the lumberjack. Many of us work gathering wood for New Garand, sending it through the river. But nowadays, orcs are a problem, and many of my people have left to the east, or to Mercia. I can defend myself, so I stayed. 	Soy Usham el leñador. Somos muchos los que enviamos madera a New Garand por el rio... Pero eso era antes, ahora los orcos son un problema y la mayoría se han marchado a Mercia, o al este. Yo aun aguanto, sé defenderme.	6		
6	A	Why doesn't the King of Varsilia send his knights to destroy the orcs? We're at just a few hours from New Garand.	Por qué el rey no manda a sus caballeros a destruirles? Estamos a pocas horas de New Garand.	7		
7	Q	Oh, he does. He sends some knights and they destroy all their camps. But this tribe, the Urzuganar, must have a big lair somewhere, and the knights never found it.	Lo hace, claro. Cuando no está muy ocupado con la guerra, envía caballeros que acaban con unos cuantoscampamentos. Pero la tribu Urzuganar debe tener una guarida oculta por aquí, y nunca la han encontrado.	8		
8	A	You have any idea where the orc lair can be?	Tienes idea de dónde podría estar esa guarida de orcos?	9		
8	A	I have to go.	Me voy.	0		
9	Q	No. But they like living underground, often taking over ancient ruins.  And they're more numerous on the other side of the river. Already told the knights, but they didn't pay much attention to me.	No. Pero sé que les gusta vivir bajo tierra, a veces usan ruinas antiguas. Y son más numerosos al otro lado del rio. Se lo dije a los caballeros, pero no me hicieron mucho caso.	10		
10	A	That sounds interesting, I could look for that lair.	Eso suena interesante. Podría buscar esa guarida.	11		
11	Q	If you do, please try to find an old friend they captured months ago, his name is Niur. I would be very grateful if you find him.	Si lo haces, puede que encuentres a un viejo amigo que capturaronhace meses, se llama Niur. Si puedes salvarle, tendrías mi gratitud.	12		SetVariable#prisoner_orcs,10
12	A	I will, goodbye	Lo haré. Adiós.	0		
12	A	You think he can still be alive after months?	Crées que meses después seguirá con vida?	13		
13	Q	Maybe. Orcs always need slaves for their mines.	Quizá. Los orcos siempre necesitan esclavos para sus minas	0		
14	Q	Like I said, probably on the other side of the river.	Como te dije, posiblemente al otro lado del rio.	0		
15	A	No, not yet. Any idea where is it?	No, aun no. Tienes idea de dónde está?	14		
