index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](a magician cracking with fear)[] I don't know why you got in here, but I can help you get out of here, for a small fee.	port.	2		
2	A	Where can you move me?	port.	3		
2	A	Thanks, but I'll stay here for now.	port.	0		
3	Q	I can teleport you to one of the major cities of the kingdom for [BLUE]30 gold[].	port [BLUE]30 monedas[].	4		
4	A	Okay, teleport me to [BLUE]New Garand[]! Вот моё золото.	port.	5	PlayerHasGold#30	
4	A	Okay, teleport me to [BLUE]Freetown[]! Вот моё золото.	port.	19	PlayerHasGold#30	
4	A	Okay, teleport me to [BLUE]Nivarian[]! Вот моё золото.	port.	30	PlayerHasGold#30	
4	A	Maybe another time.	Quizá en otro momento.	0		
5	Q	Come on, hurry...	De acuerdo, di cuándo estás preparado...	6		
6	A	Send me away!	Estoy preparado.	0		"loseGold#30;Particle#;Travel#NG,999;Particle#teleport"
19	Q	Come on, hurry...	De acuerdo, di cuándo estás preparado...	20	IsRegistered#	
20	A	Send me away!	Estoy preparado.	0		"loseGold#30;Particle#teleport;Travel#FT,999;Particle#teleport"
30	Q	Come on, hurry...	De acuerdo, di cuándo estás preparado...	31	IsRegistered#	
31	A	Send me away!	Estoy preparado.	0		"loseGold#30;Particle#teleport;Travel#NI,999;Particle#teleport"
