index	type	text_english	text_ES	Go To	conditions	actions
1	Q	Landlubber ahoy!	Lombriz de tierra a la vista!	2		
2	A	Calm down, old man. Goodbye.	Tranquilo anciano, adiós.	0		
2	A	I was wondering if you have recently seen Laertes, the Islander actor.	Me preguntaba si has visto a Laertes, el actor isleño.	3	VariableEqual#world_stage,30	
2	A	Can you take me to the Islet on your boat?	¿Puedes llevarme al Islote en tu bote?	15	VariableGreater#world_stage,30	
3	Q	Lubber, I feel the dust in my throat, you see. Too dry to exchange gossip. Go bother someone else.	Mira, marinero de agua dulce, cuando estoy en tierra, tengo la garganta demasiado reseca para charlar. Ve a molestar a otro.	4		
4	A	What a temper!	¡Vaya carácter!	0		
4	A	That's easily solved, don't you think? [BLUE](Show your bottle of Friguldian liquor)[]	Eso se arregla facilmente, no crées? [BLUE](Mostrar tu botella de licor Friguldiano)[]	5	playerhasItem#5026	loseItem#5026
5	Q	Ahhh now you're talking! [BLUE](He grabs the bottle and gulps down half of it before you can blink)[]Young enough to be a cabin boy, this Laertes kid. But damn me if he doesn't know his salt. I gave him directions and he sailed out on a boat, at a rate of knots.	¡Ahhh esto ya es otra cosa! [BLUE](Agarra la botella y en un parpadeo se ha bebido la mitad)[] Laertes tiene edad de grumete, pero es un lobo de mar. Le dije el rumbo, y partió navegando a toda vela! Buen chico, ese isleño. 	6		
6	A	You gave him directions? To where?	Le diste un rumbo... ¿Qué rumbo, a dónde?	7		
7	Q	"He loves old stories, so I told him about that accursed islet. When I was a small boy, all fishermen feared it more than the Sea Queen herself; it was a Manticores' nest, and the flying beasts preyed on our fishing boats often. I once saw them from my father's boat, flying in circles."	"Le encantan las viejas historias, así que le hablé de ese maldito islote en el que había un nido de Mantícores. Cuando era un chaval, los pescadores lo temían más que a la Reina del Mar; los monstruos alados a menudo atacaban los botes. Una vez los vi a lo lejos, navegando con mi padre."	8		
8	A	Wait... Manticores? That's a pretty fearsome monster. These seas are dangerous then.	Espera... Mantícores? Son monstruos letales, Estos mares son peligrosos.	9		
9	Q	Nay, no danger anymore. 50 years ago, warships came from New Garand and hunted down the monsters. First from the skies, then on their islet. My own father guided the squadron through the reefs, and was decorated.	Nah, ya no hay peligro. Hace 50 años llegaron barcos de guerra de New Garand y persiguieron a las bestias, hasta destruir su nido. Mi propio padre guió a la escuadra por los arrecifes, y fue condecorado.	10		SetVariable#world_stage,40
10	A	That's some story, old man. But why would Laertes want to go there?	Vaya historia, abuelo. Pero ¿Para qué quería Laertes ir allí?	11		
11	Q	Landlubber, my job is guessing the fishes' thoughts, not men's. And the Sea Queen may drag me to the Bottom before I make sense of an Islander! Ha!	Mira grumete, mi trabajo es adivinar lo que van a hacer los peces, no las personas. Y que me lleve la Reina del Mar me lleve al Fondo si tengo que entender la cabeza de un Isleño! Ja!	12		
12	A	Can you take me to the Islet on your boat?	¿Puedes llevarme al Islote en tu bote?	15		
12	A	Thanks for the great story.	Gracias por la buena historia.	0		
15	Q	Getting close to that cursed rock? Me? [BLUE](He wrings his beard as he thinks)[] Well, no monster anymore, so if you make me drunk enough, why not. Bring me a bottle of that islander grog, and jump on board.	¿Acercarme a esa roca maldita? ¿Yo? [BLUE](Retuerce la punta de su barba mientras piensa)[] Ya no hay monstruos, así que si me emborrachas lo suficiente, por qué no. Traeme una botella de licor de los isleños, y zarpamos.	16		
16	A	Another bottle? At this rate you'll be able to float on your liver alone, no need of that boat.	¿Otra botella? A este paso podrás flotar con el hígado, no te hará falta el bote.	0		
16	A	Sure, here it is.  [BLUE](Give him a bottle of Friguldian liquor)[] Take me to the islet.	Claro, aquí tienes. [BLUE](Darle una botella de licor Friguldiano)[] Llévame al islote.	0	playerhasItem#5026	"loseItem#5026;Travel#J10_island,1,10"
