progress	description	description_ES	actions
0	Гость из Иных Миров	po	
10	В подворотне Фрипорта я столкнулся с бандитами, которые напали на какого-то парня, я решил ему помочь.	po.	
20	Парня, которого я спас от бандитов, зовут Невилл, он предложил присоединиться к нему в поисках сокровищ, которые находятся в северных горах Тхир.	po.	
30	В храме на горе я обнаружил заточенное в нем существо из иных миров, я пообещал освободить его, для этого нужно найти четыри магических артефакта, возможно, Невилл сможет помочь.	po.	
40	Я должен найти четыре магических артефакта, которые уничтожат печати, сдерживающие существо из иных миров, чтобы освободить его.	po.	
41	Я уничтожил одну из четырёх печатей, сдерживающие существо из иных миров.	po.	
42	Я уничтожил две из четырёх печатей, сдерживающие существо из иных миров.	po.	
43	Я уничтожил три из четырёх печатей, сдерживающие существо из иных миров.	po.	
44	Я уничтожил все печати, сдерживающие существо из иных миров, теперь можно обсудить с ним мою награду.	po.	
100	Существо из иных миров оказалось на свободе.	po.	
110	В подворотне Фрипорта я столкнулся с бандитами, которые напали на какого-то парня, я решил не помогать ему.	po.	
