index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Greetings again. Anything I can help you with?	Saludos de nuevo. ¿Puedo ayudarte en algo?	2	VariableEqual#FT_access_library,1		
1	Q	In the name of the Golden Hand, welcome to the Grey Library. Please state your reason to visit this place.	En nombre de la Mano Dorada, bienvenido a la Biblioteca Gris. ¿Con qué motivo visitas este lugar?	2			
2	A	I want to access the Library.	Quiero acceder a la biblioteca.	3	VariableLower#FT_access_library,1		
2	A	I might have some of the ancient necromany tomes your Library is seeking.	Puede que tenga alguno de los tomos de nigromancia que busca tu Biblioteca.	10	"VariableGreater#secrets_dead,0;VariableLower#secrets_dead,100"		
2	A	Why am I being questioned by a traders' guild when I enter a library?	¿Por qué soy interrogado por un gremio de comerciantes cuando entro en una biblioteca?	4	VariableLower#TMP_library_why,1	SetVariable#TMP_library_why,1	
2	A	I am looking for a young man called Sulidar, I was told he might be here.	Estoy buscando a un joven llamado Sulidar. Me han dicho que podría estar aquí.	5	"VariableLower#TMP_library_sulidar,1;VariableGreater#lost_good_book,10;VariableLower#lost_good_book,30"	SetVariable#TMP_library_sulidar,1	
2	A	I have no time for this. Step aside or else...	No tengo tiempo para esto. Apártate o si no...	21	VariableLower#FT_access_library,1		
2	A	I must go now.	Volveré en otro momento.	0	VariableLower#FT_access_library,1	Travel#FT,4,0	
2	A	I must go now.	Volveré en otro momento.	0	VariableEqual#FT_access_library,1		
3	Q	So that's what you want. Yet our records show that you have harmed our interests in the past, so you'll have to do that elsewhere. Leave now, and don't return.	Así que eso quieres. Pero nuestros registros dicen que has perjudicado nuestros intereses en el pasado, así que tendrás que hacerlo en otra parte. Márchate y no regreses.	20	VariableLower#REP_goldenhand,-4		
3	Q	Very well, our records show that you've helped the Golden Hand. To your right lies the library, which you can access freely. The hall to your left is restricted.	Muy bien, nuestros registros indican que has ayudado a la Mano Dorada. A tu derechas e encuentra la biblioteca, visítala libremente. El vestíbulo a tu izquierda está restringido.	0	VariableGreater#REP_goldenhand,0	SetVariable#FT_access_library,1	
3	Q	Ah, the pursuit of knowledge, such a lofty goal. Yet, you are a stranger, unknown to us. I am afraid I can't grant you access.	Ah, la búsqueda de conocimiento, una meta noble. Pero no sabemos nada de tí. Me temo que debes marcharte.	20			
4	Q	The Library was an abandoned ruin 20 years ago. King Danar the Second, in his wisdom, gave it to us to serve as our guildhouse in the upper floors. In exchange we take care of the library in the ground floor.	La Biblioteca era una ruina abandonada hace 20 años. En su sabiduría, el Rey Danar Segundo cedió las plantas superiores a nuestro gremio , a condición de que mantengamos en orden la biblioteca en la planta baja.	2			
5	Q	This is not the place to inquire about lost kids whereabouts. If that's what brings you here, I suggest you leave.	Este no es el lugar para buscar personas perdidas. Si es eso lo que quieres, te sugiero que te marches.	2			
10	Q	Is that so? Show me what you have brought. I will offer you a thousand gold coins per tome.	¿Es eso cierto? Muéstramelo. Te ofrezco mil monedas de oro por cada uno.	11			
11	A	Take this one: 'Tolassian Embalming Codex'. It says mummies have trouble making friends... Too wrapped up in themselves.	Toma este: 'Manual de Momificación Tolassian'. Cuenta que las momias son pesimistas, ponen la venda antes de la herida.	12	PlayerHasItem#2521	"LoseItem#2521;GainXP#200;GainGold#1000;IncVariable#REP_goldenhand,3;DecVariable#REP_loreseekers,1;IncVariable#secrets_dead,1"	
11	A	Take this one: 'On Imperial Necromancy'. It talks about grave matters, no doubt.	Toma este: 'Nigromancia Imperial'. Gran libro de autoayuda, ningún esqueleto se ha suicidado tras leerlo.	12	PlayerHasItem#2602	"LoseItem#2602;GainXP#200;GainGold#1000;IncVariable#REP_goldenhand,3;DecVariable#REP_loreseekers,1;IncVariable#secrets_dead,1"	
11	A	Take this one: 'Of Ghosts and Spectres'. A lovely story, you can see through the characters.	Toma este: 'De Fantasmas y Espectros'. Bella historia de amor, con personajes muy transparentes.	12	PlayerHasItem#2608	"LoseItem#2608;GainXP#200;GainGold#1000;IncVariable#REP_goldenhand,3;DecVariable#REP_loreseekers,1;IncVariable#secrets_dead,1"	
11	A	Take this one: 'Vampire: the Myth'. But I warn you, the main character sucks.	Toma este: 'Vampiros: El Mito'. Pero te advierto que a los personajes les falta vida.	12	PlayerHasItem#2609	"LoseItem#2609;GainXP#200;GainGold#1000;IncVariable#REP_goldenhand,3;DecVariable#REP_loreseekers,1;IncVariable#secrets_dead,1"	
11	A	Nothing yet, but I keep looking.	Aun no, pero sigo buscando.	13			
12	Q	You did the right thing by bringing them to me instead of those buffoons in New Garand. Here is your reward. What else brings you here?	Has hecho lo correcto al traérmelos a mí en lugar de esos payasos en New Garand. Toma tu recompensa. ¿Que más te tráe por aquí?	2			
13	Q	Then, what else brings you here?	Entonces, ¿Qué más te tráe aquí?	2			
20	A	I'll leave... For now.	Me marcho... Por ahora.	0		Travel#FT,4,0	
