index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](Azeran no longer looks like a feeble bookworm, as he pushes against the ground a bloodied Thalassos. He smiles as he holds the medallion)[] I can't believe you survived all these years. I find it hilarious! you must have been living like a cockroach in those tunnels. [BLUE](He laughs)[]	[BLUE](Azeran ya no parece un ratón de biblioteca débil, y empuja al suelo a un ensangrentado Thalassos. Sonríe mientras sostiene el medallón)[] No puedo creer que hayas sobrevivido todos estos años. Lo encuentro divertidísimo, debes haber estado viviendo como una cucaracha en esos túneles. [BLUE](Se ríe)[]	2			
2,thalassos3	Q	[BLUE](Coughs blood and looks up in disbelief)[] Ellodis Windmaker! Treacherous monster! How can you still look so young? What sorcery is this?	[BLUE](Tose sangre y mira hacia arriba con incredulidad)[] ¡Ellodis Windmaker! ¡Monstruo traicionero! ¿Cómo puedesseguir siendo joven? ¿Que brujería es esta?	3			
3,azeran	Q	I have changed my name, it's Azeran now. I've grown more powerful than you can imagine, Thalassos. I will age very slowly, as long as I pay certain price. And with this [BLUE](He raises the medallion)[] I will be able to challenge even your so-called gods. A pity you won't be able to see it.  [BLUE](A bolt of white energy freezes the old priest's lungs, and he dies instantly)[]	He cambiado mi nombre, ahora soy Azeran. Me he vuelto más poderoso de lo que puedas imaginar, Thalassos. Envejeceré muy lentamente, siempre que pague cierto precio. Y con esto [BLUE](levanta el medallón)[] podré desafiar incluso a tus falsos dioses. Lástima que no puedas verlo. [BLUE](Un rayo de energía blanca congela los pulmones del anciano sacerdote y muere instantáneamente)[]	4			
4	Q	"[BLUE](Turns to face you)[] Oh, it is you. A pity you have to witness this; I had no grudge against you."	"[BLUE](Se vuelve hacia ti) [] Oh, eres tú. Lástima que hayas visto esto; no tenía nada contra tí."	5			
5	A	Oh, but I do have a grudge against you, cheating bastard. Die! [BLUE](Attack)[]	Pero yo sí tengo algo contra tí, maldito mentiroso. ¡Muere! [BLUE](Atacar)[]	10			
5	A	"Oh, don't worry. People betray me all the time, often the same ones who hired me; it's part of the job. How about my payment?"	"Oh, no te preocupes. La gente me traiciona todo el tiempo, a menudo los mismos que me contratan; es parte del trabajo. ¿Que hay de mi oro?"	6			
5	A	Let's just pretend I didn't see anything! Works for me.	¡Finjamos que no vi nada! Por mi vale.	6			
6	Q	Wouldn't that be great? But I can't allow you to walk away now that you know my secret, can I? 	¿No sería genial? Pero no puedo permitir que te vayas ahora que conoces mi secreto, ¿verdad?	7			
7	A	Makes sense. Time for you to die, then.	Tiene sentido. Entonces es hora de que mueras.	10			
7	A	I promise I won't say a word.	Prometo que no diré una palabra.	10			
7	A	[BLUE](Trick him)[] Oh, you can. Just pay me, that way I'll be an accomplice to this murder and my silence is guaranteed.	[BLUE](Engañarle)[] Oh, puedes. Págame, así seré cómplice de este asesinato y mi silencio estará garantizado.	8			PER,3
8	Q	[BLUE](Laughs)[] I like your style. Just never cross my path again, or I'll get rid of you. [BLUE](He throws a bag of gold at your feet. When you look up again, you see him fading away, probably teleporting)[].	[BLUE](Rie)[] Me gusta tu estilo. Nunca más te cruces en mi camino o me deshaceré de ti.[BLUE](Arroja una bolsa de oro a tus pies. Cuando miras hacia arriba de nuevo, lo ves desaparecer, probablemente teletransportándose)[].	0		"NPCDespawn#azeran;SetVariable#like_father,110;GainGold#800;GainXP#600"	
10	Q	[BLUE](Laughs, and makes an arcane gesture. Infernal portals open, and several creatures surround you!)[] I haven't put all my new powers to the test yet. This should be fun.	[BLUE](Se ríe y hace un gesto arcano. Se abren portales infernales y ¡varias criaturas te rodean!)[] Todavía no he puesto a prueba todos mis nuevos poderes. Esto va a ser divertido.	0		"NPCSpawn#azeran_ambush;NPCHostile#azeran;SetVariable#like_father,90"	
