index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	On this flat stone you see a strange inscription, probably several centuries old. Oddly enough it uses Imperial alphabet and words, yet the language is very strange and hard to decipher.	En esta piedra plana ves una extraña inscripción posiblemente de hace siglos. Extrañamente usa el alfabeto imperial, pero el sentido de las palabras parece muy difícil de descifrar.	2			
2	A	I should have paid more attention in school.	Tenía que haber estado atento en el colegio.	0			
2	A	Hmmm... I think I can understand if I focus on this for a couple hours.	Hmmm... Creo que si me esfuerzo durante unas horas, puedo entender lo que dice.	3	VariableLower#KNOW_H7_tol1,1	"SetVariable#KNOW_H7_tol1,1;GainXP#250"	INT#3
2	A	I already deciphered this, let's read it again.	Ya he descifrado esto, volvamos a leerlo.	3	VariableEqual#KNOW_H7_tol1,1		
3	Q	"It says: 'I was trusted with the Crown that might restore his might, yet I fail Him and cower in fear. Our Lord awaits, in the sanctuary we built for Him; yet we don't dare waking Him from his slumber. For we know we walked the wrong path. We betrayed his teachings'"	Dice: 'Me fue confiada la Corona que puede restaurar su poder, pero me escondo atemorizado. Nuestro Señor espera, en el santuario que construimospara Él, pero tememos despertarle. Porque hemos seguido el camino equivocado, hemos traicionado sus enseñanzas'	4			
4	A	The rest is too hard and cryptic, I can't understand it even if I'm sure there's more interesting things... 	El resto es demasiado difícil, no puedo entenderlo incluso si sé que dice cosas interesantes... 	0			
4	A	A good challenge to my mind... but I can figure it out!	Un buen desafío para mi mente, pero ¡puedo descifrarlo!	5			INT#4
5	Q	It says: 'Our Lord Tol pursued harmony. Death as the counterpart of Life. He dreamed of a timeless civilization in which both living and unliving had their place. But after He was betrayed by the other Gods and slept, we the High Priests led our people to conquest the warm ones. To enslave them. To feast on their blood'	Dice: 'Nuestro Señor buscaba la armonía. Muerte como la otra cara de la Vida. Soñaba con una civilización eterna en la que vivos y muertos tuvieran su lugar. Pero cuando los otros Dioses le traicionaron y cayó en el sueño, nosotros los Sacerdotes guiamos a los nuestros para esclavizar a los vivos. Y para saciarnos con su sangre'	6			
6	Q	It concludes: 'We the Dust-Weavers and the Blood-Drinkers have brought shame upon Lord Tol. We're beyond redemption... May his Crown remain hidden for all eternity and our Lord asleep beneath his glorious statue, unaware of our sins.'	Termina: 'Tanto los Señores del Polvo como los Bebedores de Sangre somos ahora indignos de Tol. Estamos más allá de cualquier perdón... Que la Corona permanezca oculta por toda la eternidad, y nuestro Señor duerma bajo su gloriosa estatua, ignorando nuestros pecados.'	7			
7	A	This is quite a reading... A 'glorious statue' of Tol? And he still rests there, awaiting the Crown? Wow.	Vaya, la ¿'Gloriosa Estatua de Tol'? Y al parecer allí espera a que lleven la Corona.	0	VariableLower#KNOW_H7_tol2,1	"SetVariable#KNOW_H7_tol2,1;GainXP#800"	
7	A	Yes, I had already read this.	Si, ya había leido esto.	0	VariableEqual#KNOW_H7_tol2,1		
