index	type	text	text_ES	Go To	conditions	actions
1	Q	Tell me, where are we going? Or is it a surprise? You know I love surprises!		7	VariableEqual#mad,1	NPCFollow#mad
1	Q	I won't bother you, don't worry. I'll just walk with you for a while.		8	VariableEqual#mad,2	NPCFollow#mad
1	Q	Where are we going? Do you have a plan?		9	VariableEqual#mad,3	NPCFollow#mad
1	Q	Are you looking for a quiet place where we can talk and stuff?		10	VariableEqual#mad,4	NPCFollow#mad
1	Q	Maybe we're going in circles. I mean, I don't know where you want to go.....		11	VariableEqual#mad,5	NPCFollow#mad
1	Q	You're so interesting! It's good that you took me with you. Maybe we should go out together more often.		12	"VariableEqual#mad,6;PlayerIsMale#"	NPCFollow#mad
1	Q	You're so interesting! I'm glad you took me with you. Maybe we should go out together more often.		12	"VariableEqual#mad,6;PlayerIsFemale#"	NPCFollow#mad
1	Q	I'm so used to you! We're good friends. You think so too? Where are you sleeping? You can stay at my place, I don't mind!		13	VariableEqual#mad,7	NPCFollow#mad
1	Q	Do you like animals too? Yeah, not everyone does. That's why I got kicked out of Kingsbridge.		14	VariableEqual#mad,8	NPCFollow#mad
1	Q	There are people in Varsilia who are always trying to beat me up. They're Kingsbridge types. Real barbarians! Next time I'll tell them you're my friend - that will certainly frighten them.		15	VariableEqual#mad,9	NPCFollow#mad
1	Q	Those Kingsbridge brigands will be speechless when I tell them I have a protector. They'll shit their trousers in fear! That'll be fun! Murder's a commonplace for them, but now they'll think twice!		16	VariableEqual#mad,10	NPCFollow#mad
1	Q	You know what? I'm gonna help you out. I'll put in a good word for you. Then you can move to Kingsbridge too, and we can see each other every day.		17	VariableEqual#mad,11	NPCFollow#mad
1	Q	A lot of people think I'm a freak. But someone like you wouldn't talk to a freak, would you? They'll find out you're my friend and realise they were wrong.		18	VariableEqual#mad,12	NPCFollow#mad
1	Q	You're my best friend! Before that, nobody wanted to talk to me. Everyone chased me away. Thank you for not doing that.		19	VariableEqual#mad,13	NPCFollow#mad
1	Q	That's great! You know, you're like a big brother to me. I never had an older brother. I didn't have a little brother either. My parents didn't want to be around kids. I guess they had a hard time with me		20	VariableEqual#mad,14	NPCFollow#mad
1	Q	Where did you live before that? You probably wanted to find someone who understood you, too. I'm from Kingsbridge myself. Have you ever been there? Well, it's not really important.		21	VariableEqual#mad,15	NPCFollow#mad
1	Q	I'm already hungry. I consider myself your guest, in a way. so it would be most honourable of you to treat me like a good host. That's what my friends at Kingsbridge told me. They've been good to me.		22	VariableEqual#mad,16	NPCFollow#mad
1	Q	Now that we're with you, we can show these ignorant people how to behave! They've been bothering me for years, so let them try to attack me again, and I'll.... Together we are invincible! We can even take over the whole of Varsilia. The two of us could take out the Barons in no time. Well, that's a good idea. It's worth considering.		23	VariableEqual#mad,17	NPCFollow#mad
1	Q	Hey, kid! Are you new? I haven't seen you before.		2	PlayerIsMale#	
1	Q	Hey, girl! Are you new? I haven't seen you before.		2	PlayerIsFemale#	
2	Q	I'll walk with you for a while, okay? I'm sure you need a friend right now.		3		NPCFollow#mad
