progress	description	description_ES	actions
0	Роковые Яйца	po	
10	Существо из иных миров рассказало мне о древнем тролле, у которого имеютя яйца, наделенные сильной магией, достаточной чтоб разрушить печать, возможно, у знакомого Невиллу мага живущего в Соллиге удасться узнать подробности об этом тролле.	po.	
20	Прежде, чем отправиться на поиски древного тролля, Невилл предложил заполучить оружие у его отца в Уайттауэре.	po.	
30	Болдуин согласился отдать зачарованный нож, если я принесу ему голову гиганского медведя, обитающего в лесах долины Уайттауэра.	po.	
35	Болдуин согласился отдать зачарованный нож, если я принесу ему голову гиганского медведя, обитающего в лесах долины Уайттауэра.	po.	
40	Я нашёл и убил огромного медведя, теперь нужно вернуться к Болдуину и отдать голову зверя.	po.	
45	Невилл предложил украсть у Болдуина зачарованный нож, я согласился. Я должен встетиться с ним ночью за домом его отца.	po.	
50	Я заполучил зачарованый нож, теперь необходимо отправиться на поиске древнего тролля на Болото троллей.	po.	
60	Я смог добыть яйца древнего тролля, теперь необходимо вернуться к существу из иных миров.	po.	
70	Я должен вернуться к древнему троллю и найти нужные яйца.	po.	
100	Я нашёл магические яйца, необходимые чтобы уничтожить печати сдерживания.	po.	
