index	type	text	text_ES	Go To	conditions	actions
1	Q	Чего мы ждём? Что то случилось?		8	NPCisFollower#	
1	Q	Импири бить минотавра! Не могу уйти, месть за друзей!! 		0	NPCinArea#mino1	
1	Q	Импири бить минотавра! Не могу уйти, месть за друзей!! 		0	NPCinArea#mino	
1	Q	Импири убил минотавра. Ты воин. Помоги выбраться наружу?		2		
2	A	Как ты здесь оказалась? Твоих друзей сожрал минотавр?		3	VariableLower#varf,1	SetVariable#varf,1
2	A	Да я помогу тебе! куда тебя отвести, наружу?		4		
2	A	Стой тут. Я вернусь за тобой позже.		0		
3	Q	Люди в ночь-ряса напали на наш лагерь. Убивали...мы не войны, убегали.. но они поймали. Бросали сюда. Некоторых отдали на корм минотавру других увели.		6		
4	Q	Нет! Только до выхода. Дальше я сама		5		
5	A	Я отведу тебя. Идём!		0		"NPCFollow#;SetVariable#vargena,10"
6	A	Это ужасно. Ты знаешь куда их увели? Они могут быть еще живы?		7		
7	Q	Живы? Нет импири. Моя слашать как ночь-люди говорили про кровавый ритуал. Им нужны были жертвы.		2		
8	A	Дальше я пойду один. Я больше не могу оберегать тебя...		9		
8	A	Пожалуйста, подвинься немного, ты стоишь на пути.		10		
8	A	Нет, ничего. Идём дальше.		0		
9	Q	Что? Ты меня тут бросишь??...Хорошо я уйду.		0		"NPCStopFollowing#;DecVariable#REP_varannari,12;SetVariable#vargena,120;NPCDespawn#vargena"
10	Q	Как скажешь.		0		NPCMoveRandom#
