index	type	text	text_ES	Go To	conditions	actions
1	Q	Greetings, my ally. Maybe in the future, I can work with you again. The Golden Hand always needs capable people.	Hola, amigo. Quizá en el futuro podamos trabajar juntos de nuevo. La Mano Dorada siempre necesita gente capaz.	0	VariableEqual#spicing_things_up,110	
1	Q	Get out of my sight, you disgusting mercenary. You helped that stinky nobody, Fritha. And you have angered both me and the Golden Hand.	fuera de mi vista, maldito mercenario. Has ayudado a esa apestosa e insignificante Fritha, y me has perjudicado a mí. Y también a la Mano Dorada.	0	VariableEqual#spicing_things_up,100	
1	Q	That medallion... I know that disgusting Fritha has offered you 500 gold. Instead, I offer you 800, and the friendship of the Golden Hand, the greatest Trader Guild in the Kingdoms.	Ese medallón... Sé que Fritha te ha ofrecido 500 monedas por él. To te ofrezco 800, y la amistad de la Mano Dorada, el mayor gremio de comerciantes de los Reinos.	2	PlayerHasItem#2507	
1	Q	Come here, listen to me... I know that worthless Fritha Rhayader has hired you. I work for the Golden Hand, do you understand? If you ever find that medallion, give it to me, not to her. You won't regret it. [BLUE](The man grins unpleasantly)[]	Ven, escúchame... Sé que esa inútil de Fritha Rhayader te ha contratado... Si alguna vez encuentras ese medallón, ven a verme a mí n lugar de a ella. Trabajo para la Mano Dorada, no te arrepentirás.	0	"VariableGreater#spicing_things_up,9;VariableLower#spicing_things_up,50"	
1	Q	Get away from my stand, adventurer. I sell spices to the wealthy and refined, and you are neither.	fuera de mi puesto, aventurero. Vendo especias a los ricos y refinados, y tú no eres ninguna de las dos cosas.	0		
2	A	Hmmm I don't know. It actually belonged to her family. Is that right?	Hmmm no lo sé. Ese medallón pertenecía a su familia. ¿Sería correcto?	3		
2	A	Deal! I can't believe it, what a fortune.	¡Trato hecho! No puedo creérlo, es toda una fortuna.	4		
2	A	Oh, really? My loyalty and honor are not for sale. Goodbye.	¿Oh, lo dices en serio? Pues mi lealtad y mi sentido del honor no están en venta. Adiós.	0		
3	Q	Think about it. She was unable to recover it herself, or to offer the right price for it; someone that is unable to restore her family's dignity, deserves nothing.	Piénsalo, ella ha sido incapaz de recuperar el medallón, o de ofrecer el mejor precio por él. Alguien que no es capaz de restaurar el honor de su familia no merece nada.	5		
4	Q	Excellent decision. Give it to me, this little thing will be smashed and thrown into the Bluemist tonight. Here is your reward.	Excelente decisión. Dámelo, esta cosa va a ser destruida y arrojada al Bluemist esta noche. Toma tu recompensa.	0		"GainGold#800;GainXP#150;SetVariable#spicing_things_up,110;DecVariable#REP_varsilia,2;LoseItem#2507;IncVariable#REP_goldenhand,5"
5	A	I agree. She should have offered me more. Here, it is yours for 800 gold.	Estoy de acuerdo. Ella debería haberme ofrecido más. Aquí lo tienes, es tuyo por 800 monedas.	4		
5	A	No... I think that's not right.	No... Creo que eso no está bien.	6		
6	Q	You'll eventually change your mind. I'll be right here.	Al final cambiarás de idea, y estaré esperando.	0		
