index	type	text_english	text_ES	Go To	conditions	actions
1	Q	Мне больше нечего тебе рассказть...		0	VariableEqual#ktrup1,1	
1	Q	[BLUE](Призрак движется к вам протянув руки вперед.)[] Медальон! Я узнаю его!! Помоги мне!		3	PlayerHasItem#2638	
1	Q	[BLUE](Призрак мужчины летает по дому и что-то бормочет. Похоже ему нет никакого дела до живых.)[] Боги...Почему я здесь?...Боль! Все время эта боль!....		2		
2	A	Оставить несчастного в покое.		0		
3	A	Кто ты такой! Не приближайся или сдохнешь!		4		
4	Q	Хахахха сдохну? Я бы очень этого желал! Но я не сдохну..НЕТ! Этот проклятый медальон удерживает мою душу прикованной к этому месту...К месту моей смерти. Ах да..Меня звали Билли.		5		
5	A	Ты должно быть из той самой банды что разграбила древнее святилище?		6		
6	Q	Да...[BLUE](Призрак становится немного прозрачнее)[] да...я один из них. Раз ты уже в курсе событий...Значит ты всё знаешь. С кем ты встречался?		7		
7	A	С Джеком. Он просил меня отыскать тех кто его убил. Как я тебя уже убили...Что тут произошло?		8		
8	Q	Джек...Ублюдок Джек из-за него то все и случилось. Он привел нас к тому святилищу, а страдаем все мы!...		9		
9	A	Меня это не интересует. Расскажи, что тут произошло?		10		
10	Q	Не интересует? У тебя медальон и он очень интресует тех, кто разгромил этот дом...После того как мы разорили святилище все было хорошо, мы даже нашли покупателя на медальон. Потом до нас стали доходить слухи о каком то древнем культе. Но мы не придали этому значения.		11		
11	Q	Однако в Нью-Гаранте на нас вышел связной культистов. Он хотел получить медальон назад. Джек был согласен его отдать, а мы хотели денег и хотели его продать. Произошла ссора и из таверны Джек уже не вышел...А медальон так и остался на его трупе. Мы не смогли его забрать, да и уже не хотели от крови Джека он обрел странную, зловещую ауру. В этот момент мы разбежались в разные стороны и больше не виделись.		12		
12	A	Интересно...Так значит тут тебя и нашли эти культисты?		13		
13	Q	Точно. Им был нужен медальон и моя кровь...Кровь мою они получили, а вот медальон так и не нашли. Попробуй окунуть медальон в мою кровь...Надеюсь после этого..я смогу обрести покой.		14		
14	A	Прежде, чем я что то сделаю скажи мне куда сбежали остальные?		15		
15	Q	Понимаю...Габриал хотел уйти в Мерсию, а про Нейтана мне ничего не известно...У культистов точно такая же информация...Думаю тебе стоит поторопиться..ну если хочешь найти Габриэля живым...		16		
16	A	Живым? Мне нет никакого дела до жизни разбойника, а вот успеть до кого как высохнет его кровь канешно нужно. Пойду поищу твой труп.		0		SetVariable#ktrup1,1
