index	type	text	text_ES	Go To	conditions	actions
1	Q	Oh you again! Please leave, or other travellers won't approach.	¡Tú otra vez! Márchate o los demás viajeros no se acercarán.	0	VariableGreater#trial_error,0	SetVariable#TMP_talk_beggar,1
1	Q	[BLUE](A hunched old man with his eyes closed stumbles into your way)[] Please take pity on a poor blind man! I am hungry and desperate, but a few coins will alleviate my suffering.	[BLUE](Un viejo encorvado y con los ojos cerrados se cruza en tu camino)[]¡Por favor, ten compasión de un pobre ciego! Estoy hambriento y cansado, pero unas pocas monedas aliviarán mi sufrimiento...	2		SetVariable#TMP_talk_beggar,1
2,adaon	Q	[BLUE](Claps and laughs)[] Great performance, impressive. But the smell gave you away, you still smell like fish, Tozan.	[BLUE](Aplaude y rie)[] Gran actuación, impresionante. Pero te reconozco por el olor, aun hueles a pescado, Tozan.	10	IsInParty#adaon	
2	Q	[BLUE](Shakes a bowl in front of your face with insistence)[] The gods reward those who are generous... And punish those who turn their back on a poor blind man like myself.	[BLUE](Agita un cuenco frente a tu cara con insistencia)[] Los dioses recompensan al generoso... Y castigan a quienes dan la espalda a un pobre ciego como yo.	3		
3	A	Alright, here's 50 gold.	De acuerdo, aquí tienes 50 monedas.	5	PlayerHasGold#50	LoseGold#50
3	A	Alright, here's 100 gold.	De acuerdo, aquí tienes 100 monedas.	5	PlayerHasGold#100	LoseGold#100
3	A	Go away before I lose my patience.	Largo antes de que pierda la paciencia.	4		
4	Q	Curse you! [BLUE](tears run down his dirty cheeks)[] Talking like that to a poor blind man, lost in a sea of darkness. You should be ashamed!	¡Te maldigo! [BLUE](las lágrimas resbalan por sus sucias mejillas)[] Hablarle así a un pobre ciego, perdido en un mar de oscuridad. ¡Deberías avergonzarte!	0		NPCDespawn#blind
5	Q	At last I'll be able to eat! Thank you stranger, may The Three bless you.	¡Por fin podré comer! Gracias viajero, que Los Tres te bendigan.	6		
6	A	Wait, I can't just leave you here in the middle of nowhere, let me take you to an inn.	Espera, no puedo dejarte aquí en mitad de la nada. Deja que te acompañe a una posada.	7		
6	A	Goodbye, be careful on the roads.	Adiós, cuidado con los caminos.	0		NPCDespawn#blind
7	Q	What? No, no... I know this region like the palm of my hand, don't worry. Just leave me alone, I'll be fine. [BLUE](He scurries away with surprising speed for an old blind man)[].	¿Qué? No, no, conozco esta región como la palma de mi mano, de´jame solo que estaré bien. [BLUE](Se escabulle muy rápido para un hombre ciego y anciano)[]	0		NPCDespawn#blind
10,R	Q	[BLUE](For a moment the blind man freezes entirely, except for his shaking hands. Then he opens an eye tentatively)[] Adaon? Is that you? By the Mother's Beard, Adaon! I thought I'd never see you again! [BLUE](He smiles, opening his eyes and stretching out his back. He is obviously much younger than he appeared to be)[]	[BLUE](Por un momento el ciego se queda paralizado, excepto por sus manos temblorosas. Luego abre un ojo poco a poco)[] ¿Adaon? ¿Eres tú? ¡Por la Barba de la Madre, es Adaon! Pensé que no volvería a verte. [BLUE](Sonríe y abre los ojos, estirando la espalda. Es obvio que es mucho más joven de lo que parecía)[].	11		
11	A	What the heck is going on here?	¿Que está pasando aquí?	12		
12,adaon	Q	Tozan, this is my friend. Don't try to take his money again, will you? I say it for your own good.	Tozan, este es amigo mio. No vuelvas a intentar sacarle dinero, ¿De acuerdo? Lo digo por tu bien.	13		
13,R	Q	Of course, sorry about that. I'll just be on my way, I hope we meet again and have a drink together. Oh... And Adaon, sorry about Bagadar.	Claro, os pido disculpas. Me marcho, espero que nos veamos pronto y podamos beber juntos. Ah, Adaon... Lamento lo de Bagadar.	14		
14,adaon	Q	Huh? What happened to that old fool of uncle I have?	¿Huh? ¿Qué pasa con el idiota de mi tio?	15		
15,R	Q	You don't know? He got caught because of some lousy job, he's now in The Farm. Poor old bastard, that's the last place I want to be in when I'm his age.	¿No lo sabes? Le pillaron en un trabajo y le llevaron a La Granja. Pobre viejo, ese es el último sitio al que querría ir cuando tenga su edad.	16		
16,adaon	Q	Keep playing the blind man trick like this and you'll find yourself there soon, you fool.	Sigue haciendo tan mal el truco del ciego y acabarás allí rápidamente.	17		
17,R	Q	Yeah I know... I better leave now, take care Adaon.	Ya lo sé... Ahora mejor me marcho, cuídate Adaon.	20		NPCDespawn#blind
20	A	Adaon, what's this deal with your uncle?	¿Adaon, qué es ese asunto de tu tio?	21		
21,adaon	Q	[BLUE](Shrugs)[] Nothing, relax. Some old thief got caught, he had it coming, that's all. They took him to The Farm, sucks to be him I guess. [BLUE](Yawns)[]	[BLUE](Se encoge de hombros)[] Nada, relájate. Han pillado a un viejo ladrón que se lo merecía. Le han llevado a La Granja, mejor él que yo, supongo. [BLUE](Bosteza)[]	22		
22	A	You were not close to him? I can't believe you don't care one bit about your own family.	¿No le conocías mucho? No puedo creer que no te preocupe nada tu familia.	23		
23,adaon	Q	I do, I mean, I hope he survives... I guess? Uncle Bagadar was like a father to me, but not anymore. I won't bore you with the details, I'll just say I owe him nothing.	Me preocupa, espero que no muera... ¿Supongo? Mira, mi tio Bagadar era como un padre para mí, pero ya no. No te aburriré con detalles, pero no le debo nada.	24		
24	A	What is 'The Farm'?	¿Qué es 'La Granja'?	25		
