progress	description	description_ES	actions
0	Дым без Огня	po	
10	В мой дом проник вор! Надо схватить его, пока он не успел сбежать.	po.	
15	Вор, проникший в мой дом, действовал по чьей-то указке, возможно, стража города чем-то мне поможет.	po.	
20	Начальник стражи врятли чем-то поможет, мне придётся искать пославшего в мой дом вора самому.	po.	
25	На меня напали бандиты, действовавшие по указке всё того же неизвестного, возможно, теперь стоит обратиться к тем, кто вне закона в городе.	po.	
30	В Доме Семи я узнал личность вора и место его обитания, возможно, это чем-то мне поможет.	po.	
35	На меня напал волшебник, которого нанял опять тот же неизвестный, надо найти кто реально поможет решить эту проблему.	po.	
40	Я познакомился с частным детективом-магом, который готов мне помочь, ему необходимо взглянуть на записку покойного вора.	po.	
45	Я познакомился с частным детективом-магом, который готов мне помочь, но ему нужно заплатить 300 монет.	po.	
50	Я нанял частного детектива-мага, необходимо с ним встетиться в Айсмите, чтоб услышать, что ему удалось узнать.	po.	
55	Перси предлагает проникнуть в дом подозреваемого волшебника, для это я должен раздобыть устройство у его знакомой Элл.	po.	
60	Элл готова отдать устройство, если я раздобуду семена ледяного чертополоха в Уайттауэре.	po.	
63	Я раздобыл семена ледяного чертополоха, теперь надо вернуться к Элл.	po.	
65	Я раздобыл необходимое устройство, теперь необходимо встретиться ночью с Перси у жилище подозреваемого волшебника.	po.	
70	Мне удалось проникнуть в жилище подозреваемого волшебника, теперь надо найти доказательства его вины.	po.	
75	Магистр Виндчейзер оказался тем самым нанимателем! Перси предложил отправиться в Ланнегар, чтоб поймать главаря разбойник, охотящихся на меня, и с его помощью устроить засаду на волшебника.	po.	
77	Я столкнулся с бандой разбойников в Ланнегаре, необходимо разобраться с ними, взяв в плен их главаря.	po.	
78	Перси через главаря разбойников отправил сообщение для магистра Виндчейзера, назначив место встречи с ним в Соллиге, я должен обсудить с ним план действий.	po.	
79	Необходимо добрать до места назначенной встречи с магистром Виндчейзером в Соллиге на причале.	po.	
80	Магистр Виндчейзер догадался об устроенной на него засаде и отправил отряд убийц.	po.	
85	У главаря убийц нам удалось узнать, что Магистра Виндчейзера можно найти в огненном жертвеннике у подножья Замора.	po.	
90	Ритуал магистра Виндчейзера пошёл не по плану, и он погиб, теперь необходимо разобраться с последствиями его неудачи.	po.	
95	Моя проблема с магистром Виндчейзером решена, теперь надо поговорить с Перси.	po.	
100	Проблема с магистром Виндчейзером, преследовавший меня, решена.	po.	
110	Проблема с магистром Виндчейзером, преследовавший меня, решена, теперь я могу пользоваться его ритуалом.	po.	
120	Проблема с магистром Виндчейзером, преследовавший меня, решена.	po.	
