index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	"Ah, you found poor Hendrick's remains! And his journal! I will very gladly pay you 200 gold for it. Here, I hope this compensates you well; I have more work to do, get back to me if you are interested."	Ah, ¡Encontraste los restos del pobre Hendrick! ¡Y su diario! Con mucho gusto le pagaré 200gp por ese diario. Espero que sea suficiente. Tengo más trabajo, ven a verme si te interesa.	0	"VariableEqual#forgotten_lore,20;playerhasitem#2500"	"LoseItem#2500;GainXP#150;GainGold#200;SetVariable#forgotten_lore,30;IncVariable#REP_loreseekers,3"	
1	Q	I wish I had a better job...  I'm not made for dungeon-crawling	Me gustaría tener un trabajo mejor… No estoy hecho para explorar subterráneos.	0	"VariableLower#forgotten_lore,30;VariableGreater#forgotten_lore,9;"		
1	Q	"I was here, considering entering that Tolassian tomb. But it might be wiser to simply walk away; the smell coming out of it is too unpleasant."	"Estoy aquí, considerando entrar en esta tumba Tolassian. Pero, sería más prudente marcharme; el hedor que sale de ahí es repugnante."	2	VariableLower#forgotten_lore,10		
1	Q	Found anything about my comrade Lady Zaniel? Well, keep searching! There must be some news or rumors about where did she go.	¿No hay noticias de mi camarada Lady Zaniel? Pues sigue buscando. Debe haber noticias o al menos rumores sobre dónde fue.	11	"VariableGreater#forgotten_lore,39;VariableLower#forgotten_lore,50"		
1	Q	Hello my friend, finally I learned of the fate of my second missing comrade, the Loreseeker Zaniel. She apparently was investigating local legends here in Kingsbridge a year ago.	Saludos, amigo mio. Finalmente he averiguado  el destino de mi segundo  camarada desaparecido, el Buscador de Secretos Zaniel. Ella investigaba leyendas locales aquí en Kingsbrige, hace un año.	11	VariableEqual#forgotten_lore,30	SetVariable#forgotten_lore,40	
1	Q	You found Zaniel... How sad that she is dead, but after so long I had little hope. Here is 300 gold as reward.	Encontraste a Zaniel… Qué triste que esté muerta, pero después de tanto tiempo tenía pocas esperanzas. Aquí tienes 300gp como recompensa.	24	"VariableLower#forgotten_lore,60;playerhasitem#2501"	"LoseItem#2501;GainXP#300;GainGold#300;SetVariable#forgotten_lore,60;IncVariable#REP_loreseekers,4"	
1	Q	You found Zaniel... But where is her journal? I need to be sure it was her.	Encontraste a Zaniel… Pero ¿dónde está su diario? Necesito asegurarme de que es ella.	0	VariableLower#forgotten_lore,60		
1	Q	I see... No news of Loremaster Riella. Or is it Loremistress? 	Ya veo... No hay noticias de la Maestra Riella.	0	VariableEqual#forgotten_lore,70		
1	Q	I see... No news of Loremaster Riella. Or is it Loremistress? 	Ya veo... No hay noticias de la Maestra Riella.	0	VariableEqual#forgotten_lore,80		
1	Q	I only need to find one more missing person, and this horrible job will be over. I need to find out what happened to Loremaster Riella.	Sólo necesito encontrar una persona desaparecida más y este horrible trabajo habrá terminado. Tengo que averiguar que pasó a la Maestra Riella.	15	VariableEqual#forgotten_lore,60		
1	Q	Ah, the news you bring me about Riella are tragic. However, you did a great service to this Order, feel free to access our library and public areas at will. And here is 500 gold to compensate for your efforts.	Las noticias que me traes sobre riella son trágicas. No obstante nos has prestado un gran servicio, puedes acceder libremente a las zonas abiertas de la Gran Biblioteca desde ahora. Y toma 500 monedas para compensar tus esfuerzos.	0	VariableEqual#forgotten_lore,95	"GainXP#400;GainGold#500;SetVariable#forgotten_lore,110;IncVariable#REP_loreseekers,3;NPCDespawn#library_guard;ItemHide#grate1;ItemWalkable#grate1"	
1	Q	I can't believe it, you found Riella! Welcome back, Loremistress. We'll quickly accomodate you so you can recover. And for you, my friend, here's 1000 gold, and from now on you can access the library and our traders.	¡No puedo creerlo, has encontrado a Riella! Bienvenida de vuelta, señora. Nos encargaremos de que os recuperéis pronto. Y en cuanto a tí, aquí tienes 1000 monedas y nuestra amistad. Eres bienvenido en las zonas abiertas de la Gran biblioteca.	0	VariableEqual#forgotten_lore,90	"GainXP#500;GainGold#1000;SetVariable#forgotten_lore,100;IncVariable#REP_loreseekers,6;Disband#riella;NPCDespawn#riella;NPCDespawn#library_guard;ItemHide#grate1;ItemWalkable#grate1"	
1	Q	Greetings, my friend	Saludos, amigo.	0	VariableGreater#forgotten_lore,95		
1	Q	Greetings, my friend	Saludos, amigo.	0			
2	A	Did you expect a dungeon to smell like roses? 	Esperabas que una mazmorra oliese a rosas?	3			
2	A	The smell might be the smallest of your concerns if you go down there. Why do you want to get inside?	El olor podría ser la menor de tus preocupaciones si vas ahí dentro. Por qué quieres entrar?	4			
2	A	Tolassian tomb? Who are the Tolassians?	Tumba Tolassian? Quienes son los Tolassians? 	7			
3	Q	How rude! This place is barbaric! I will probably just pack and go back to Kingsbridge.	Qué grosero! Este lugar es salvaje! Probablemente empaquetaré mis cosas y volveré a Kingsbridge.	0			
4	Q	I am a Royal Loreseeker. Our Grandmaster sent me on a quest to investigate the disappearance of a few of my comrades years ago. Hendrick is the first I traced, and the clues lead to this place.	Soy un Buscador de Secretos del Rey. Nuestro Gran Maestro me ha enviado en misión para investigar la desaparición de algunos de mis camaradas años atrás. Hendrick es el primero que seguí y las pistas conducían a este lugar.	5			
5	A	I have heard about the Loreseekers. Don't take offense, but you don't look like a hero at all... are you sure you are a Loreseeker?	He oído hablar de los Buscadores de Secretos. No te ofendas, pero no pareces un héroe en absoluto... Seguro que eres un Buscador?	9			
5	A	Oh, a Loreseeker, like in the tales of old! It is a honor to meet you, sir. Is there a way I can help?	Oh, un Buscador de Secretos, como en las leyendas! Es un honor conocerte, hay algo en lo que pueda ayudar?	6			
5	A	What an exciting job. No doubt your Grandmaster really likes you... that's why he sends you to remote and dangerous places, right?	Qué trabajo tan apasionante. No dudo que  tu Gran Maestro realmente confía en ti... por eso te envía a lugares remotos y peligrosos, no es así?	3			
6	Q	Well, if you were so kind as to explore downstairs and tell me of any findings related to my quest, I would reward you with [BLUE]200 gold[].	Bien, si fueras tan amable como para explorar escaleras abajo y contarme cualquier cosa que encuentres relacionada con mi investigación terecompensaría con [BLUE]200 monedas[].	18			
7	Q	You know nothing? Tolassians are an ancient civilization, which inhabited these lands a millenia ago. We Andorians only arrived here a century ago, when the Empire was overthrown.	No sabes nada? Los Tolassians son una antigua civilización, que habitó estas tierras hace miles de años. Nosotros, los Andorianos llegamos aquí hace un siglo, cuando el Imperio fue derrocado.	8			
8	A	How can you know all that? I mean, who knows what happened a millenia ago... and why do you want to enter that tomb?	Cómo sabes todo eso? Quiero decir, quien sabe qué pasó hace un milenio… y por qué quieres entrar en la tumba?	4			
8	A	Ummm fascinating, but I have to go.	Ummm fascinante, pero tengo que irme.	0			
9	Q	Not all of us are like the heroic Orhan and Niella. All the Loreseekers are wise scholars at the service of the king, but not all are mighty warriors and daring explorers.	No todos son como los heroicos Orhan y Niella. Todos los Buscadores de Secretos son sabios eruditos al servicio del Rey, pero no todos son valientes y hábiles exploradores.	10			
10	A	I see. You are a bookworm. Sounds like you can use some help, maybe...	Ya veo, eres un ratón de biblioteca. Suena como si necesitases ayuda, tal vez…	6			
11	A	Okay, I will keep my eyes open.	De acuerdo, Tendré los ojos abiertos.	0			
11	A	Can you tell me more about the Tolassians?	Puedes contarme más acerca de los Tolassians?	12			
12	Q	They were a strange and fascinating civilization, we still know very little about them. There is one thing about Tolassians that is especially strange...	Eran una civilización extraña y fascinante, conocemos todavía muy poco acerca de ellos. Hay una cosa acerca de los Tolassian especialmente extraña…	13			
13	A	What is it, the fact they disappeared without a trace?	Cuál, el hecho de que desapareciesen sin dejar ningún rastro?	14			
13	A	What is it, the fact they're all undead now?	Cuál, que sean todos muertos vivientes ahora?	14			
13	A	I know! There's no bathrooms in their ruins.	Ya sé! no hay cuartos de baño en sus ruinas.	14			
14	Q	No, it is even more unsettling: all we have found from them is... tombs. No cities, no castles, no temples. Isn't it fascinating?	No, es aún más inquietante, todo lo que hemos encontrado de ellos es… tumbas. Ni ciudades ni castillos, ni templos. ¿No es fascinante?	0			
15	A	Where can we find her?	¿Dónde podemos encontrarla?	16			
16	Q	She was one of the wisest people in the kingdom, despite her youth. She believed there was an ancient Tolassian complex near the capital, New Garand, but that's all I know. I think my job here is done, if you ever find about Loremaster Riella, find me in our Great Library in New Garand.	Era una de las personas más sabias del reino, a pesar de su juventud. Creía que había un antiguo subterráneo Tolassian cerca de la capital, New Garand, pero eso es todo lo que sé. Creo que mi tarea aquí ha terminado, así que si la encuentras, búscame en nuestra Gran Biblioteca en New Garand.	0		SetVariable#forgotten_lore,70	
17	A	Thanks. So, one more to go, right?	Gracias. Aún falta uno, ¿no?	1			
17	A	Goodbye.	Adiós.	0			
18	A	I could do that. Very well, I will, I can use that reward.	Podría hacer eso. Me vendría bien la recompensa.	23			
18	A	I don't think so. Not now at least.	Me parece que no. Al menos de momento.	3			
18	A	Before I decide... Anything I should remember if I go down there?	Antes de decidir... ¿Algún consejo que me venga bien si entro?	19			
19	Q	The undead are the most obvious threat of course, but there is always traps and also secret doors everywhere. Records mention [BLUE]libraries[] hidden in each Tolassian tomb, but none have been discovered yet.	Los muertos vivientes son la amenaza más evidente, pero hay trampas y puertas secretas en muchos sitios. Los textos mencionan una [BLUE]biblioteca[] en cada tumba Tolassian, pero de momento ninguna ha sido encontrada.	20			
