index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Greetings. It is always a pleasure meeting the hero that made possible our presence here [BLUE](Signals with his hand at the temple hall)[]. We'll never thank you enough for this, but please accept one of these magic items as a reward.	Saludos. Siempre es un placer saludar al héroe que hizo posible nuestra presencia aquí. [BLUE](Señala con su mano al templo que os rodea)[]. Nunca te lo podremos agradecer bastante, pero por favor acepta uno de estos objetos mágicos como recompensa.	70	VariableLower#ng_bishop_reward,1		
1	Q	May the Three Guide your every step. Welcome home.	Que Los Tres guíen cada uno de tus pasos. Bienvenido a casa.	60	VariableEqual#guild_three,1		
1	Q	Greetings. It is always a pleasure meeting the hero that made possible our presence here [BLUE](Signals with his hand at the temple hall)[]. We'll never thank you enough.	Saludos. Siempre es un placer saludar al héroe que hizo posible nuestra presencia aquí. [BLUE](Señala con su mano al templo que os rodea)[]. Nunca te lo podremos agradecer bastante.	50			
50	A	Father, I was considering joining the Church of the Three. What would I need to do?	Padre, estaba considerando unirme a la Iglesia de Los Tres. ¿Qué necesitaría hacer?	51			
50	A	Yeah, good that it all worked out in the end.	Sí, me alegro de que al final acabase bien.	0			
51	Q	You have proven your worth more than enough, but I am afraid you are already loyal to another guild. A Loyalty Oath can only be taken once, in a lifetime.	Has probado sobradamente tu valía, pero me temo que ya eres leal a otro gremio. Un juramento de Lealtad sólo puede hacerse una vez en la vida.	0	PlayerHasGuild#		
51	Q	You have proven your worth more than enough, so all you'd have to do is take the magical [BLUE]Loyalty Oath[]. Be aware once you take it, it will stay forever. You won't be able to join any other guild. If you prefer to simply remain our friend, you'll always be welcome here.	Has probado sobradamente tu valía, así que puedes prestar el [BLUE]Juramento mágico de Lealtad[]. Recuerda que si lo haces, es para siempre, y no podrás unirte a ningún otro gremio. Si prefieres ser simplemente nuestro amigo, siempre serás bienvenido aquí.	52	PlayerIsClass#cleric		
51	Q	You have proven your worth more than enough, but The Three choose those fit for their service when they are born, granting them their powers. [BLUE](Only Clerics can join this guild)[]	Has probado sobradamente tu valía, pero Los Tres escogen a los suyos al nacer, otorgándoles sus poderes. [BLUE](Sólo los Clérigos pueden unirse a este gremio)[]	0			
52	A	Please explain me what would be my duties as a member of the Church.	Por favor, explícame mis obligaciones como miembro de la Iglesia.	53			
53	Q	While we hold ranks and titles, we believe every Cleric is equal under The Three's love. We rarely give orders, allowing each of us to pursue their sacred Call. But obviously your loyalty to The Three must be above any other thing. You'll be able to train from me and other Bishops in Nivarian.	Aunque tenemos rangos y títulos, creemos que cada Clérigo es igual bajo Los Tres. Rara vez damos órdenes, pero obviamente tu lealtad hacia Los Tres debe ser absoluta. Si lo deseas podrás aprender de mí ciertos misterios y poderes, y también de otros Obispos en Nivarian.	54			
54	A	Very well. [BLUE](Take the Oath and become a member of the Church of The Three)[] [RED](NOTE: This decision has no way back, and you won't be able to join other guilds!)[]	Muy bien. [BLUE](Prestar el Juramento y convertirse en miembro de la Iglesia de Los Tres)[] [RED](NOTA: ¡Esta decisión no tiene vuelta atrás, y ya no podrás unirte a otro gremio!)[]	55		"SetVariable#guild_three,1;IncVariable#REP_three,10;ItemHide#grate1;ItemWalkable#grate1"	
54	A	I'll have to think about it.	Tendré que pensarlo.	0			
55	Q	I had been hoping for this moment. Your deeds at the Inori and here mark you as a valuable tool of Their Will. I hope we can also call you a good friend.	Había esperado este momento. Tus hazañas en Inori y aquí te designan como una poderosa herra mienta de Sus Voluntades. Espero que además podamos tenerte como amigo.	0			
60	A	¿Can you teach me about the Mysteries of The Three?	¿Puedes enseñarme los secretos de Los Tres?	61			
60	A	Are there any missions required of me, Father?	¿Hay alguna misión para mí, Padre?	63			
61	Q	If you fight the dead often, you might be interested in [BLUE]Turn Undead[], and also [BLUE]Retribution[] if you use your powers often.	Si combates con los muertos a menudo, puedes aprender[BLUE]Expulsar Muertos Vivientes[], o también [BLUE]Castigo[] para poder utilizar tus poderes más a menudo..	62			
62	A	Tell me more about Turn Undead.	Dime más acerca de Expulsar Muertos Vivientes.	0		TrainSkill#turn_undead	
62	A	Tell me more about Retribution	Dime más acerca de Castigo.	0		TrainSkill#retribution	
62	A	Maybe another time.	Quizá en otro momento.	0			
63	Q	Not currently, but soon news should arrive from Nivarian. There's always so much to do... Rest while you can.	Ahora mismo no, pero pronto llegarán instrucciones de Nivarian. Siempre hay mucho que hacer... Descansa mientras puedas.	0			
70	A	I choose the [BLUE]Blessed Plate Boots[]	Escojo las [BLUE]Botas de Coraza Bendecidas[].	71		GainItem#145	
70	A	I choose the [BLUE]Ring of Health[]	Escojo el [BLUE]Anillo de Salud[].	71		GainItem#3012	
70	A	I choose the [BLUE]Shield of Life[]	Escojo el [BLUE]Escudo Vital[].	71		GainItem#187	
71	Q	I am sure it will be put to good use in your capable hands. May the Three guide your every step.	Estoy seguro de que le darás buen uso. Que Los Tres guíen cada uno de tus pasos.	0		SetVariable#ng_bishop_reward,1	
80	A	"My call is too strong; I renounce my previous vows and embrace the Church of the Three forever."	"Mi vocación es demasiado fuerte; renuncio a mis juramentos anteriores y me uno a la Iglesia de Los Tres."	55		"SetVariable#guild_three,1;IncVariable#REP_three,10;ItemHide#grate1;ItemWalkable#grate1;SetVariable#guild_warriors,0;SetVariable#guild_seventh,0"	
