index	type	text	text_ES	Go To	conditions	actions
1	Q	I have nothing to say to you.	No tengo nada de qué hablar contigo.	0	VariableEqual#where_is_giles,-100	
1	Q	I have nothing to say to you.	No tengo nada de qué hablar contigo.	0	VariableEqual#where_is_giles,200	
1	Q	Please, don't return until you can tell me where is my son.	Por favor, no regreses hasta que puedas decirme dónde está mi hijo.	0	"VariableGreater#where_is_giles,9;VariableLower#where_is_giles,60;"	
1	Q	Well, any news?	¿Y bien? ¿Alguna noticia?	11	"VariableEqual#where_is_giles,60;PlayerHasItem#2511"	
1	Q	Please, don't return until you can tell me where is my son.	Por favor, no regreses hasta que puedas decirme dónde está mi hijo.	0	VariableEqual#where_is_giles,60	
1	Q	I feel very tired...	Me siento tan cansado...	21	VariableEqual#where_is_giles,100	
1	Q	Well, any news?	¿Y bien? ¿Alguna noticia?	17	"VariableEqual#where_is_giles,90;PlayerHasItem#2512"	
1	Q	Please, don't return until you can tell me where is my son.	Por favor, no regreses hasta que puedas decirme dónde está mi hijo.	0	VariableEqual#where_is_giles,90	
1	Q	Greetings, friend.	Saludos, amigo.	21	VariableEqual#where_is_giles,110	
1	Q	[BLUE](The man nods politely)[] My name is Latimer, maybe you are seeking me out, because you heard I need the services of an experienced adventurer.	[BLUE](El hombre te saluda inclinando su cabeza)[] Mi nombre es Latimer. Quizá has oido por ahí que ando buscando los servicios de un aventurero experto.	2		
2	A	Actually no, I am sorry. I must be on my way	En realidad no, lo siento. Tengo que marcharme.	0		
2	A	Yeah, tell me what it is that needs to be done.	Si, dime qué es lo que necesitas que haga.	3		
2	A	I never heard of you, but if you need help, tell me what's your problem.	No había oido hablar de tí, pero si necesitas ayuda, dime de qué se trata.	3		
3	Q	Very well, I know who you are, adventurer. Your name and your exploits are known... Not yet sung by bards, but I am sure you are the right man to find out what happened to my son.	De acuerdo. Se quién eres, aventurero. Tu nombre y tus hazañas se escuchan en las historias de tabernas... Aunque aun no las cantan los bardos. Pero creo que eres la persona perfecta para averiguar qué le ocurrió a mi hijo.	5	VariableGreater#REP_varsilia,39	
3	Q	Hmm... I have heard your name before, maybe. But I am actually looking for a Hero. I've sent already many to search and investigate, and some never returned. [BLUE](You need to rise your reputation in Varsilia to 'Hero')[]	Hmm...puede que haya oido tu nombre. Pero lo que yo necesito es un héroe. Ya he enviado antes a otros a investigar, y algunos jamás regresaron. [BLUE](You need to rise your reputation in Varsilia to 'Hero')[]	4		
4	A	Suit yourself...	Como quieras...	0		
4	A	I will be known as a famous hero soon, and return to you	Seré un héroe famoso pronto, y entonces hablaremos	0		
5	A	He disappeared long ago? Maybe you argued?	¿Desapareció hace mucho? ¿Quizá tuvisteis una pelea?	6		
6	Q	Five years ago.  We didn't have problems at all... I was preparing him to become a silk trader like me. But one day... He was gone.[BLUE](He looks down)[] Everybody tells me he is probably dead by now, but I am sure he is alive, probably captive.	Hace cinco años. [BLUE](Baja la cabeza)[]. No teníamos problemas, yo le estaba preparando para convertirse en un mercader de seda, como yo. Pero un día desapareció. Todos créen que ha muerto, pero yo sé que sigue vivo, seguramente prisionero. 	7		
7	A	Why would anyone keep him captive, and not ask you for ransom? I think five years is a long time... You should prepare yourself for the worst.	¿Para qué iban a secuestrarle, y no pedirte que pagues un rescate? Me parece que cinco años es mucho tiempo... Deberías prepararte para lo peor.	8		
8	Q	[BLUE](The man becomes visibly altered, a strange gleam in his eyes)[] No! If you are going to work for me, I absolutely forbid such talk. My son is alive. Alive! Do you understand? Tell me where he lives now, and I will pay you [BLUE]1,500 gold coins[].	[BLUE](el hombre se pone nervioso, sus ojos brillan y su voz tiembla)[] ¡No! Si vas a trabajar para mí en esto, prohibo decir tales estupideces. ¡Mi hijo está vivo! ¡Vivo! ¿Lo comprendes? Ahora averígua dónde está, y te recompensaré con [BLUE]1.500 monedas de oro[].	9		
9	A	Calm down, sir. Of course he may be alive, let's focus on that possibility. What else can you tell me about him?	De acuerdo, vamos a calmarnos. Es posible que esté vivo, centrémonos en eso. ¿Que más puedes decirme acerca de su desaparición?	10		
9	A	You can fool yourself all you want, but your son is probably dead. Accept it. I can try to look for him, or his remains, if you want.	Puedes engañarte todo lo que quieras, pero tu hijo posibelmente ha muerto. Puedo intentar buscarle a él, o a sus restos.	13		
