index	type	text	text_ES	Go To	conditions	actions
1	Q	 [BLUE](a friendly-looking sorceress at the entrance of her workshop)[] Hello, traveler, if you have the right weapon and the right ingredients, I'm ready to enchant him!	¿po?	6	"VariableEqual#charm_magnolia,1"		
1	Q	 [BLUE](a friendly-looking sorceress at the entrance of her workshop)[] Hello, traveler, I am engaged in the enchantment of weapons, but unfortunately, according to the Queen's law, I am forbidden to provide services to unknown people in the kingdom! [BLUE](10 reputation needed in the Northern Kingdom)[]	¿po?	0	VariableLower#REP_north_kingdom,10	
1	Q	 [BLUE](a friendly-looking sorceress at the entrance of her workshop)[] Hello, traveler, I am engaged in the enchantment of weapons, if you are interested in this, then I am ready to transform some blade or hammer that you have with you for a reasonable fee!	¿po?	2		
2	A	What weapons can you enchant?	po.	3		
2	A	Thanks, but I have to go.	po.	0		
3	Q	 Any weapon without other enchantments that you have. But I will also need ingredients - four of fire salts, living ice or sparkling powder for the enchantment of one of the elements.	¿po?	4		
4	A	How much will the enchantment cost?	po.	5		
5	Q	 Enchantment of daggers and swords will cost [BLUE](from 200 to 300 gold)[], hammers and axes [BLUE] (250 gold each)[], and something heavier [BLUE] (more than 350 gold)[]. If you have something suitable and the right ingredients with you, I'm ready to get to work right now.	¿po?	6		"SetVariable#charm_magnolia,1"
6	A	I have living ice with me.	po.	7	"PlayerHasItems#1006,4"	
6	A	I have fire salts with me.	po.	8	"PlayerHasItems#1005,4"	
6	A	I have sparkling powder with me.	po.	9	"PlayerHasItems#1007,4"	
6	A	You can enchant this adamantite shortsword?	po.	15	PlayerHasItem#552	
6	A	You can enchant this adamantite sword?	po.	16	PlayerHasItem#553	
6	A	You can enchant this adamantite greatsword?	po.	17	PlayerHasItem#554	
6	A	You can enchant this terrifying maul?	po.	179	PlayerHasItem#541	
6	A	You can enchant this terrifying sword?	po.	115	PlayerHasItem#10360	
6	A	Can you enchant this short terrifying sword?	po.	246	PlayerHasItem#10892	
6	A	Can you enchant this thing? [BLUE](show her dildo)[]	po.	184	"VariableLower#dyldo_magnolia,1;PlayerHasItem#10106"	
6	A	Can you enchant this two-handed sword Widowmaker?	po.	201	PlayerHasItem#10175	
6	A	Can you enchant this two-handed sword Dragon Slayer?	po.	202	PlayerHasItem#10200	
6	A	Can you enchant this maul Rock Breaker?	po.	203	PlayerHasItem#10444	
6	A	Can you enchant this axe Thinker's Argument?	po.	204	PlayerHasItem#10446	
6	A	Can you enchant this two-handed sword Bloodsucker?	po.	205	PlayerHasItem#10613	
6	A	Can you enchant this maul Killing power?	po.	206	PlayerHasItem#10772	
6	A	Can you enchant this long sword Sacrifice?	po.	207	PlayerHasItem#10776	
6	A	Can you enchant this two-handed sword Soulcatcher?	po.	208	PlayerHasItem#10855	
6	A	Can you enchant this dagger Wolfish Ferocity?	po.	209	PlayerHasItem#10856	
6	A	How many ingredients do I need to enchant and how much will it cost?	po.	13	"VariableEqual#charm_magnolia,1"		
6	A	No, thanks.	po.	0		
7	Q	 Okay, what kind of weapon do you have for enchantment?	¿po?	10		
8	Q	 Okay, what kind of weapon do you have for enchantment?	¿po?	11		
9	Q	 Okay, what kind of weapon do you have for enchantment?	¿po?	12		
10	A	Enchant this dagger.	po.	31	"PlayerHasItem#521;PlayerHasGold#200"	
10	A	Enchant this short sword.	po.	32	"PlayerHasItem#522;PlayerHasGold#250"	
10	A	Enchant this sword.	po.	33	"PlayerHasItem#523;PlayerHasGold#300"	
10	A	Enchant this mace.	po.	34	"PlayerHasItem#525;PlayerHasGold#250"	
10	A	Enchant this hammer.	po.	35	"PlayerHasItem#526;PlayerHasGold#250"	
10	A	Enchant this axe.	po.	36	"PlayerHasItem#528;PlayerHasGold#250"	
10	A	Enchant this great sword.	po.	37	"PlayerHasItem#524;PlayerHasGold#350"	
10	A	Enchant this maul.	po.	38	"PlayerHasItem#527;PlayerHasGold#400"	
10	A	Enchant this great axe.	po.	39	"PlayerHasItem#529;PlayerHasGold#350"	
10	A	Enchant this bluesteel dagger.	po.	61	"PlayerHasItem#531;PlayerHasGold#200"	
10	A	Enchant this bluesteel short sword.	po.	62	"PlayerHasItem#532;PlayerHasGold#250"	
10	A	Enchant this bluesteel sword.	po.	63	"PlayerHasItem#533;PlayerHasGold#300"	
