index	type	text	text_ES	Go To	conditions	actions
1	Q	Stupid kid, you'll live to regret not coming with me!	Niño estúpido, ¡vivirás para arrepentirte de no venir conmigo!	0	VariableEqual#trial_error,100	
1	Q	[BLUE](This prisoner is much older than the rest, and looks sick and weak. He seems to be half-asleep, or at least pretends not to notice you)[]	[BLUE](Este prisionero es mucho más viejo que los otros, y parece débil y enfermo. Parece estar medio dormido, o quizá finge no verte)[]	2		
2,adaon	Q	Hey old man! Stop pretending, we're here to see you.	¡Eh, vejestorio! Levántate, hemos venido a verte.	3	IsInParty#adaon	
2	Q	[BLUE](Not having anything to say to him yourself, you leave him alone.)[]	[BLUE](Al no tener nada que decirle, le dejas en paz)[]	0		
3,R	Q	What... Who.. Adaon! Praised be the Gods! You have to get me out of here, my boy.	¿Qué... Quién...? ¡Adaon, mi chico! Loados sean los dioses, tienes que sacarme de aquí, muchacho.	4	VariableEqual#trial_error,10	SetVariable#trial_error,20
3,R	Q	Leave me alone, you scoundrel! If you're not going to help me, begone!	¡Déjame en paz, sabandija! ¡Si no vas a ayudarme, lárgate!	40	"VariableGreater#trial_error,10;VariableLower#trial_error,80"	
3,R	Q	Did you find a way to set me free?	¿Habéis encontrado la forma de liberarme?	50	"VariableGreater#trial_error,79;VariableLower#trial_error,90"	
3,R	Q	What do you want now?	¿Qué queréis ahora?	60	VariableEqual#trial_error,90	
4,adaon	Q	[BLUE](He laughs)[] I'm not your boy, you made it very clear when you abandoned me. I'm just here to gloat at your well-deserved misery. Who did you rob this time? Orphans? Or maybe a blind widow?	[BLUE](Se rie)[] No soy 'tu chico', lo dejaste muy claro cuando me abandonaste. Sólo he venido a reirme de tu muy merecida miseria. ¿A quién robaste, a huerfanitos? ¿Quizá a una viuda ciega?	5		
5	A	I can't believe you're actually lecturing someone about honesty.	No me puedo creer que estés sermoneando a alguien sobre la honestidad.	6		
6,adaon	Q	You know nothing of these things. You were not raised in Freeport slums, with everyone around you being a thief, a whore or a murderer. You don't understand what family means when everyone is out there to get you, and you don't understand what it is to be fooled and abandoned by the only one you trusted, when you're just 14. Yeah I know what I am... but I'm nothing like my dear uncle here.	No sabes nada de estas cosas. No te criaste en las chabolas de Freeport, donde todo el mundo es un ladrón, una puta o un asesino. No entiendes lo que significa tu familia en un lugar donde todo el mundo va a por tí, y no entiendes lo que es que la única persona en la que confías en el mundo te engañe y te abandone cuando tienes 14 años. Yo sé lo que soy... pero no soy como mi querido tio aquí presente.	7		
7,R	Q	Now now... Listen boy... That's not what happened, let me explain...	Calma, Calma... Querido niño, espera... Eso no es lo que pasó. Déjame que te explique...	8		
8,adaon	Q	Sure, go ahead, I'm listening. This should be fun.	Venga, de acuerdo, empieza, te escucho. Esto va a ser gracioso.	9		
9,R	Q	[BLUE](Looks at both of you and shakes his head)[] I'm pretty good at making up stories but I'd never be able to fool you. It's all true, I made good money off you as a pickpocket, but your face became known and you were not able to make money anymore. I took you to Kingsbridge and abandoned you, because otherwise we'd both starve. Looking at how well you fared and where I find myself now, I'd say you shouldn't be so mad at me.	[BLUE](Os mira a ambos y menea la cabeza)[] Soy bueno inventando historias, pero a tí no puedo engañarte. Es todo cierto, te adiestré como ladrón y gané mucho contigo, pero tu cara era conocida y ya no eras rentable. Te llevé a Kingsbridge y te abandoné, para que no muriéramos ambos de hambre. Con lo bien que te ha ido, y viendo dónde he terminado, creo que no deberías odiarme tanto.	10		
10,adaon	Q	Yeah I can't complain, I admit 'honest life' is working well for me, although I'm beginning to grow bored of running around so much. I'm not mad at you, I really don't care anymore and a few weeks of outdoor exercise will be good for you. But I admit I'm curious. Who did you rob this time?	Si, no me ha ido mal con la 'vida honrada', aunque empiezo a aburrirme de correr tanto de un lado a otro. No estoy enfadado, la verdad es que ya no me importa y unas semanas de aire libre no te vendrán mal. Pero tengo curiosidad...¿A Quién has robado esta vez?	11		
11,R	Q	You don't know? I'm here for murder of a nobleman. I got a life sentence, boy. And believe it or not, this was for making an honest deal... Maybe the first one in my life.	¿No lo sabes? Estoy aquí por el asesinato de un noble. Me han condenado a perpetua, chico. Y lo creas o no fue por hacer un trabajo honrado... Quizá el primero en mi vida.	12		
12,adaon	Q	[BLUE](For a moment, Adaon looks clearly shocked, but quickly he goes back to a mocking sneer)[] Serves you well for all the unpunished misdeeds in your life, old fraud. I really doubt you'd hurt anyone, much less kill, so what happened?	"[BLUE](Por un momento parece sorprendido, pero rápidamente vuelve a sonreir mordazmente)[] Te lo mereces por todas las malas obras por las que nunca pagaste, viejo liante. Dudo que hayas herido a nadie, y menos matado; ¿Qué ocurrió?"	13		
13,R	Q	I was digging through pawn shops in Freeport looking and old maps and documents. You know how I love forging, and it's always good to have ancient documents as inspiration. So among these piles of old scrolls I found a map... It appeared to be drawn by Malan Stargazer himself. And believe me, nobody can tell a fake faster than me, and this thing was real.	"Estaba rebuscando por los bazares de Freeport para ver viejos documentos; ya sabes lo buen falsificador que soy, y para eso no hay nada mejor que ver cómo son los originales auténticos. Entre todos los viejos pergaminos encontré un mapa... Al parecer dibujado por el mismísmo Malan Stargazer. Y créeme, yo sé distinguir un mapa falso y este era auténtico."	14		
14,adaon	Q	Seriously? A map to the trasure of Malan Stargazer? I just don't buy it, uncle Bagadar.	¿En serio? ¿Un mapa del tesoro de Malan Stargazer? No me lo trago, tio Bagadar.	15		
15	A	Who was Malan Stargazer? The name is familiar.	¿Quién era Malan Stargazer? Me suena ese nombre.	16		
16,adaon	Q	An imperial hero or something, founded Port Malan. Honestly I don't know much, except that legends says he hid an incredible treasure somewhere in Varannar.	Un heroe imperial o algo así, fundó Port Malan. La verdad, no se mucho, salvo la leyenda de que escondió un enorme tesoro en algún lugar de Varannar.	17		
17,R	Q	"He was an Imperial Warrior-Mage and Loremaster. His treasure is legendary; you can imagine my excitement when I found the map. I decided to try to locate it myself; the map was deteriorated but I could clearly identify the Korne peninsula, which made a lot of sense. I decided to come here and try my luck; unfortunately, those disgusting Ursans almost got me killed twice, so I had to give up."	"Era un Maestro de Sabiduría y Mago-Guerrero del Imperio. Su tesoro es legendario; podéis imaginaros mi alegría al encontrar el mapa. Aunque estaba deteriorado claramente se veía la península de Korne, lo cual tiene bastante sentido; tomé la decisión de venir aquí y probar suerte. Pero las dos veces, esos malditos Ursans casi me matan. Lo dejé por imposible."	18		
18,R	Q	I decided to sell the map. After all I am an old man, I don't really need that much money to live comfortably for the rest of my life. Word of me reached a young noble called Sir Aramas, he was in the region looking for fame and adventure: more importantly, he believed himself related to Malan. You know how crazy are Varsilians about that. 	Decidí vender el mapa. Soy un hombre viejo, no necesito tanto dinero para vivir cómodamente el resto de mi vida. Mi nombre llegó hasta un joven noble llamado Sir Aramas, que estaba por la zona en busca de fama y aventura. Además, el creía estar emparentado con Malan, y ya sabes cómo son los Varsilios con esas cosas.	19		
19,adaon	Q	I see... How much did you get for that forgery of yours?	Ya veo... ¿Cuanto le sacaste por esa falsificación?	20		
20,R	Q	I'm telling you the map was authentic! I asked for 6,000 gold coins, and he paid without hesitation. This Aramas kid was a reputed warrior, he didn't fear the Ursan at all. He was confident he'd be able to seize the treasure in no time.	¡Te digo que el mapa era auténtico! Le pedí 6,000 monedas y me las pagó sin regatear. El tal Aramas era un guerrero famoso, no temía a los Ursans. Estaba seguro de que iba a recobrar el tesoro rápidamente.	21		
21	A	I still can't see how you ended up here.	Sigo sin ver cómo has terminado aquí.	22		
22,R	Q	"Sir Aramas entered the Korne forest... to never return. Rumors started spreading about me being a known forger, and often working in league with thugs and robbers. Eventually I was accused of forging a map to lead the knight into an ambush with footpads; my record with thieves' gangs and forgeries got me convicted instantly."	Sir Aramas se metió en el Bosque de Korne... Y jamás regresó. Empezaron los rumores acerca de mi pasado como falsificador conocido, y algunos decían que había enviado a Aramas a una amboscada con bandidos, que le habían matado. Mis antecedentes como falsificador y compañero de malhechores no me ayudaron, fui condenado rápidamente.	23		
23,adaon	Q	You're screwed, uncle. Unless that Sir Aramas shows up, which I doubt after so long. It's been nice talking to you, now we have some adventuring to do on the other side of the world, so goodbye.	Estás bien jodido, tio. A no ser que aparezca ese tal Aramas, cosa que dudo a estas alturas. Bueno, tenemos aventuras pendientes en la otra punta del mundo, así que adiós.	24		
24,R	Q	Ungrateful rat! [BLUE](He spits to the ground, hitting Adaon's boots)[] For five years I took care of you, taught you everything you know, and then you leave me to rot in a place like this! Go away, mighty 'adventurer', I hope you end up half-digested by a troll that vomits you into the swamp!	¡Rata desagradecida! [BLUE](Escupe al suelo, alcanzando las botas de Adaon)[]. Durante 5 años te cuidé, te enseñé todo lo que sabes, y ¡vas a dejar que me pudrá aquí! Pues vete, 'aventurero valiente', ¡ojalá un troll te vomite después de haberte digerido, y te eche de vuelta al pantano!	25		
25,adaon	Q	[BLUE](Laughs)[] I bet now you regret getting rid of me. Keep up the spirit, goodbye!	[BLUE](Se rie)[]Apuesto a que ahora te arrepientes de librarte de mí. Mantén esa energía, la vas a necesitar.	26		
26	A	Um... Adaon... Are you sure about this?	Um... Adaon... ¿Estás seguro de esto?	27		
27,adaon	Q	[BLUE](Once away from Bagadar, he talks to you in a low voice)[] Calm down... I know you're worried, but do you think I'm crazy?	[BLUE](Una vez lejos de Bagadar te habla en voz baja)[] Calma, no te preocupes... ¿Crées que estoy loco?	28		
28	A	Well, for a moment I was worried there...	bueno, la verdad, no sabía que pensar...	29		
29,adaon	Q	The treasure of Malan Stargazer! Oh boy, I am excited about this! If my uncle thinks it's authentic, then I assure you it is. We should go and find this Sir Aramas quickly.	¡El tesoro de Malan Stargazer! Tengo un buen presentimiento... Si mi tio piensa que un mapa es auténtico, te aseguro que lo es. Vamos a seguir los pasos de ese Aramas.	30		
30	A	You really don't care about your uncle? An old man will not survive long in a place like this.	¿No te importa tu tio? Un anciano como el morirá pronto en un sitio como este.	31		
31,adaon	Q	I guess I should try to set him free, if only to prove I'm not like him. Let's go and talk to the Governor, he's the only man that can release him.	Supongo que debería liberarle, aunque solo sea para demostrar que no soy como él. Vamos a hablar con el Alcaide de la prisión, es el único que le puede soltar.	0		
40,adaon	Q	[BLUE](Laughs)[] Stop putting such a show. We'll try to work something out.	[BLUE](Rie)[] Deja de dar este espectáculo. Se nos ocurrirá algo.	0		
50,adaon	Q	Maybe. We'll talk to the Governor and see if it works.	Quizá. Vamos a hablar con el Alcaide y veremos.	0		
60,adaon	Q	You're free to go. We proved your innocence and the Governor released you.	Estás libre. Hemos demostrado tu inocencia y el Alcaide te ha soltado.	61		
