index	type	text	text_ES	Go To	conditions	actions
1	Q	Exactly what I was looking for! Have this gold as a reward, my friend. Now, if you ever find a [BLUE]red orchid[], bring it to me. They grow usually in the river near Kingsbridge, a day or two south from here.	Justo lo que estaba buscando! Toma este oro como recompensa. Y si alguna vez encuentras una [BLUE]orquídea roja[], tráemela. Normalmente crecen en las orillas del rio cerca de Kingsbridge.  Está a uno o dos días, viajando al sur.	0	"VariableEqual#gather_ingredients,10;playerhasitem#2100"	"LoseItem#2100;GainXP#40;GainGold#40;SetVariable#gather_ingredients,20"
1	Q	Remember, I am still waiting for that blue orchid...	Recuerda, sigo esperando esa orquídea azul…	0	VariableEqual#gather_ingredients,10	
1	Q	An exceptional specimen, thanks! Here is your reward. Now for something a bit more difficult... I am looking for a [BLUE]Luminescent Fungus[]. Usually you can find them in underwater rivers or deep caves.	Un espécimen excepcional, gracias! Aquí tienes tu recompensa. Ahora algo más difícil…Estoy buscando un[BLUE] hongo luminoso[]. Normalmente puedes encontrarlos en los ríos subterraneos y las cavernas más profundas. 	0	"VariableEqual#gather_ingredients,20;playerhasitem#2101"	"LoseItem#2101;GainXP#80;SetVariable#gather_ingredients,30"
1	Q	Still waiting for you to bring me a red orchid, my friend.	Estoy esperando aún que me traigas una orquídea roja, mi amigo.	0	VariableEqual#gather_ingredients,20	
1	Q	What can I say! Magnificent! You are the most resourceful man, ain't you. Now look at what I brewed for you. Every time you bring me one red and one blue orchid, plus 100gp, I can prepare another one for you.	Qué puedo decir! Magnífico! Eres el hombre más ingenioso que haya visto. Ahora mira la poción que he elaborado para ti. Cada vez que me traigas una orquídea roja y una azul y 100gp puedo preparar más poción para ti.	0	"VariableEqual#gather_ingredients,30;playerhasitem#2102"	"LoseItem#2102;GainXP#150;GainItem#5001;SetVariable#gather_ingredients,100"
1	Q	Still waiting for you to bring me a Luminescent Fungus, my friend. Then I will be able to brew something for you!	Todavía estoy esperando que me traigas un hongo luminoso, mi amigo. Solo entonces te podré preparar alguna poción.	0	VariableEqual#gather_ingredients,30	
1	Q	Hello again, friend. Do you need anything?	Saludos de nuevo amigo. Puedo ofrecerte algo?	10	VariableGreater#gather_ingredients,30	
1	Q	Welcome to our humble establishment, traveller. My daughter can offer you a selection of potions and reagents.	Bienvenido a nuestro humilde establecimiento viajero. Mi hija puede mostrarte  una selección de ingredientes y pociones.	2		
2	A	Thanks, maybe I'll buy something.	Gracias! Tal vez compre algo.	0		
2	A	I have noticed, this town looks like it has seen better days. 	Este pueblo parece haber vivido días mejores.	3		
2	A	The potions your daughter sells are very basic, can't you prepare something more potent for me?	Las pociones que tu hija vende son muy básicas. ¿Podrías preparar algo más potente para mi?	7	VariableLower#gather_ingredients,5	
2	A	I will go to the point: I was robbed, and need gold desperately. Can you offer me any jobs?	Voy a ir al grano: me han robado, y necesito dinero desesperadamente. ¿Puedes ofrecerme algún trabajo?	7	VariableLower#gather_ingredients,5	
3	Q	Lannegar was a great town years ago. But our mine ran out of [BLUE]blue steel[], then came the wars, and finally the goblin infestation in the mine.	Lannegar era un pueblo próspero hace años. Pero en la mina se agotó el [BLUE]acero azul[], después las guerras, y por último aparecieron los goblins en la mina.	4		
4	A	A mine full with goblins, you say? Where is it?	¿Una mina llena de goblins, dices? Dónde está?	5		
4	A	Blue steel? all the weapons I see in the smithy are made of iron, and not very good.	Acero azul? Todas las armas que he visto en la forja están hechas de hierro y no son muy buenas que digamos.	6		
5	Q	It is close, to the west. There was a road which nowadays, is mostly gone. But be careful! Goblins may be small and puny, but they can easily surround and kill an adventurer like you.	Cerca, hacia el oeste. Había una carretera que casi ha desaparecido. Pero cuidado! Aunque los goblins son pequeños y esmirriados, pueden fácilmente rodear y matar a un aventurero como tú. 	0		
6	Q	Yes, blue steel, even our beloved King in New Garand had a greatsword forged from it. It was lighter than common steel, and could be sharpened even more. But those days are long gone.	Si, acero azul, incluso nuestro amado Rey en New Garand tenía un espadón forjado en dicho acero. Más ligero que el acero común y se podía afilar más. Pero ese tiempo ha  pasado.	0		
7	Q	I could prepare better potions, if I had the right ingredients. But I am an old man and the roads are dangerous...	Podría hacer mejores pociones si tuviese los ingredientes apropiados. Pero soy un hombre viejo y los caminos son peligrosos	8		
8	A	What exactly do you need?	Qué necesitas exactamente?	9		
8	A	Sorry, I am quite busy right now.	Lo siento, justamente ahora estoy muy ocupado.	0		
9	Q	For starters, bring me a [BLUE]blue orchid[] flower. They grow here, in Lannegar valley. I need a perfect specimen, not too small but still growing.	Para empezar, tráeme una [BLUE]orquídea azul[]. Son flores que crecen aquí, en el valle de Lannegar. Necesito un espécimen perfecto, no muy pequeño, pero aún tierno.	0		SetVariable#gather_ingredients,10
10	A	Thanks, goodbye	Gracias! Adiós!	0		
10	A	I want you to prepare a potion for me	Quiero que prepares una poción para mi.	11		
10	A	What ingredients can I bring you so you can make me potions?	Qué ingredientes tendría que traerte para que pudieses prepararme pociones?	12		
11	Q	I see you have a red orchid and a blue orchid. For 100gp I can make you a Potion of Moderate Healing. 	Ya veo que tienes una orquídea roja y otra azul. Por 100gp puedo prepararte una Poción  de Curación Moderada.	13	"playerhasitem#2100;playerhasitem#2101;playerhasGold#100"	
11	Q	I see you have a Deadweed and a Luminescent Fungus. For 100gp I can make you a Potion of Shielding	Ya veo que tienes un Deadweed y un hongo luminoso. Por 100gp puedo prepararte una Poción Menor de Escudo. 	14	"playerhasitem#2102;playerhasitem#2103;playerhasGold#100"	
11	Q	Sorry but I can't make anything with the ingredients you carry.	Lo siento, pero no puedo hacer nada con los ingredientes que llevas.	0		
12	Q	A red orchid and a blue one for a healing potion. A Luminescent Fungus and a Deadweed for a shielding potion.	Una orquídea roja y una azul para una Poción de Curación	0		
13	A	Very well, do it please	Muy bien, hazla por favor.	0		"loseitem#2100;loseitem#2101;loseGold#100;GainItem#5001"
13	A	No, thanks	No, gracias.	0		
14	A	Very well, do it please	Muy bien, hazla por favor.	0		"loseitem#2102;loseitem#2103;loseGold#100;GainItem#5003"
14	A	No, thanks	No, gracias.	0		
