progress	description	description_ES	actions
0	Полуночный медведь.	po	
10	Капитан Вайтуотэр сообщил мне о награде за поимку медведя-людоеда, у местного старого охотника я могу узнать о местонахождении зверя.	po.	
20	Охотник сообщил, что медведа-людоеда следует искать ночью в лесах Ланнегарской лощины, возможно, у дороги.	po.	
30	Медведь-людоед на самом деле оказался разбойником в костюме медведя! Я должен разобраться с ним и забрать голову костюма, как трофей.	po.	
40	Медведь-людоед на самом деле оказался разбойником в костюме медведя! Я забрал голову костюма, как трофей, необходимо вернуться к Капитану Вайтуотэру.	po.	
45	Медведь-людоед на самом деле оказался разбойником в костюме медведя! Я забрал голову костюма, как трофей, необходимо вернуться к Капитану Вайтуотэру.	po.	
50	Старый охотник напал на меня, желая себе присвоить трофей, я должен с ним разобраться.	po.	
60	На меня напал настоящий медведь! Я должен одолеть его, или он прикончит меня!	po.	
70	Я забрать голову настоящего медведя, как трофей, необходимо вернуться к Капитану Вайтуотэру.	po.	
100	Я обезопасил дорогу в Ланнегер, избавившись от лже-медведя и настоящего медведя-людоеда.	po.	
