index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](Amarisa recognizes you and smiles)[] I am glad to see you here in Icemist, brother. Isn't it the most impressive town in the world?	[BLUE](Amarisa sonríe cuando te ve)[]Me alegro mucho de verte aquí en Icemist, hermano. Es la ciudad más impresionante, ¿verdad?	2	PlayerIsMale#		
1	Q	[BLUE](Amarisa recognizes you and smiles)[] I am glad to see you here in Icemist, sister. Isn't it the most impressive town in the world?	[BLUE](Amarisa sonríe cuando te ve)[]Me alegro mucho de verte aquí en Icemist, hermana. Es la ciudad más impresionante, ¿verdad?	2			
2	A	Hello sister. What are you doing here?	Hola hermana. ¿Qué haces quí?	3			
3	Q	I am a Traveller, in charge of handling the teleporters in town. Sometimes they need magical recharges, or rituals need to be re-cast. It is a tedious work but someone has to do it.	Soy una Viajera, a cargo de los teletransportadores de la ciudad. A veces necesitan recargas, o los rituales deben ser hechos de nuevo. Es un trabajo tedioso pero alguien tiene que hacerlo.	4			
4	A	Hey, maybe we can join forces and go explore around!	Hey, quizá podríamos unir nuestras fuerzas y explorar un poco.	5			
4	A	I won't interrupt you then. Goodbye sister.	Eentonces no te interrumpo. Adiós hermana.	0			
5	Q	Sure, but it must happen after my shift ends. I can't abandon my post.	Claro, pero tendrá que ser cuando termine mi turno. No puedo abandonar mi puesto.	6			
6	A	Great! And when is that?	Genial! Y ¿Cuándo es eso?	7			
7	Q	Well, considering all my absences... At least ten years. Sorry!	Bueno, considerando mis ausencias recientes... Por lo menos diez años. ¡Lo siento!	8			
8	A	Awww... Goodbye sister, I have things to do in town.	Awww.... Adiós hermana, tengo cosas que hacer en la ciudad.	0			
