index	type	text	text_ES	Go To	conditions	actions
1	Q	 [BLUE](рогатое существо вспыхнуло ярким пламенем и исчезло без следа. Вам теперь осталось лишь найти выход из этого места)[]	¿po?	0	VariableEqual#holiday_coming,75	"NPCDespawn#horned;SetVariable#holiday_coming,77"	
1	Q	 [BLUE](в темноте вы услышали какой-то шум, заметили тёмный силуэт, к вам двигалось здоровое, лохматое чудовище с большими рогами, звеня какими-то цепями, от его шерсти валил пар, копыта ног громко впечатывались в каменное покрытие пещеры, воздух из ноздрей с громким шумом вырывался наружу, чёрные глаза словно пронзали вас насквозь)[] А вот и главный негодник! [BLUE](голос существа будто бы заполнять всё пространство пещеры)[]	¿po?	2			
2	Q	 Ты плохо себя вёл, поэтому будешь наказан мною! Есть ли что сказать?	¿po?	4			
3	Q	 Что ещё скажешь?	¿po?	4			
4	A	Я не собираюсь оправдываться перед каким-то монстром!	port.	30		
4	A	Вообще-то я мир спас, победив отреченных!	port.	5	"VariableEqual#ark_lothasan,100;VariableLower#pohuy_ark,1"	
4	A	Я уберёг Айсмист от возможного уничтожения спятившимы магами и спас обреченого на гибель человека!	port.	6	"VariableEqual#sewer_horrors,100;VariableLower#pohuy_sewer,1"	
4	A	Я смог спасти свою сестру!	port.	7	"VariableEqual#where_is_amarisa,100;VariableLower#pohuy_amarisa,1"	
4	A	Я помог обезопасить печать в горе Орогг, тем самым не позволил ужасным теням вырваться на свободу!	port.	11	"VariableEqual#ancient_seal,100;VariableLower#pohuy_seal,1"	
4	A	Я победил Ксидар и избавид королевства от её угрозы!	port.	8	"VariableEqual#web_terror,100;VariableLower#pohuy_web,1"	
4	A	Я остановил отравлении реки Вывернов хвост, обезопасив жителей Нью-Антура!	port.	9	"VariableEqual#poisoned_river,100;VariableLower#pohuy_river,1"	
4	A	Я освободил Фйогас от злодеяний проклятого аббата!	port.	10	"VariableEqual#cursed_abbey,100;VariableLower#pohuy_abbey,1"	
4	A	Я спас сестру Гризенды, и предотвратил угрозу от вампиров!	port.	12	"VariableEqual#invitation,100;VariableLower#pohuy_gris,1"	
4	A	Я помог вараннари сбежать из рабства в Джабале!	port.	13	"VariableEqual#price_of_freedom,100;VariableLower#pohuy_varann,1"	
4	A	Я одолел гоблинов, обеспечив безопасность Ланнегера!	port.	14	"VariableEqual#goblin_hunt3,100;VariableLower#pohuy_goblin,1"	
4	A	Я смог победить вампиров горы Сторм, заперев их с помощью печати в подземельях!	port.	15	"VariableEqual#bloody_harvest,100;VariableLower#pohuy_vampir,1"	
4	A	Я смог примирить банду Рикмана и банду Госпажи!	port.	16	"VariableEqual#sin_kingdom,120;VariableLower#pohuy_bitch,1"	
5	Q	 Спас мир? Не смеши! С этим миром никогда ничего не случится! Ты спасал своё человечество, а как по мне, вы - паразиты, какие бы катастрофы не случались, всё равно часть вас всегда будет выживать.	¿po?	3		"SetVariable#pohuy_ark,2"
6	Q	 Прогнивший город магов скоро сам рухнет в бездну, ты лишь отсрочил его падение, а одна спасённая жизнь ничто, в сравнению с сотнями загубленных в той дыре!	¿po?	3		"SetVariable#pohuy_sewer,2"
7	Q	 Одна девка, с которой ты знаком лишь пять минут? Что за мелочность! Где она сейчас, да и кому сдалась эта бесполезность?!	¿po?	3		"SetVariable#pohuy_amarisa,2"
8	Q	 Серьёзно, ты хвастаешься победой над такой слабачкой?! Да и какую угрозу могла представлять эта голожопая дура и её зоопарк королевствам с их огромными армиями?!	¿po?	3		"SetVariable#pohuy_web,2"
9	Q	 Очистил реку, которую вы сами же и засрали?! Сомнительный подвиг!	¿po?	3		"SetVariable#pohuy_river,2"
10	Q	 Да кому нужна эта глушь?! Думаешь так много народу, кого волнует, что происходит, да и вообще знает о существовании того места?!	¿po?	3		"SetVariable#pohuy_abbey,2"
11	Q	 Серьёзно? Делаешь работу за святош, пока они где-то прохлаждаются?! У этой цервки что, деньги кончились? Разве они не могут выделить кого-то адекватного для охраны той ерундовины?!	¿po?	3		"SetVariable#pohuy_seal,2"
12	Q	 Что? Ещё одна бесполезная дура?! И к тому же, что помешает вампирам, которых полно под горой, оставшихся без еды, выбраться наружу поохотиться?!	¿po?	3		"SetVariable#pohuy_gris,2"
13	Q	 Да? Горстка голодранцев, которых, возможно, уже сожрали пауки или волки? А сколько этих вараннари всё ещё гниёт в рабстве или уже сдохло в неволе?!	¿po?	3		"SetVariable#pohuy_varann,2"
14	Q	 Какая же мелочь, гоблины размножаются, как кролики, скоро они снова заполнят всю долину и шахту!	¿po?	3		"SetVariable#pohuy_goblin,2"
15	Q	 И ты думаешь, что это победа?! Со временем печать ослабнет и толпа оголодавших вампиров выбирется наружу!	¿po?	3		"SetVariable#pohuy_vampir,2"
16	Q	 Воры, бандиты и распутные, продажные девки, на твоём месте я стыдился бы хвастаться связью с подобным сбродом!	¿po?	3		"SetVariable#pohuy_bitch,2"
30	Q	 Хорошо, значит мы сразу переходим к главному! Время страдать!	¿po?	0		"NPCHostile#horned;SetVariable#holiday_coming,75"
