index	type	text	text_ES	Go To	conditions	actions
1	Q	Доброго дня почтенный господин.		2		
2	A	Кто ты такой? Почему в трусах?		3		
3	Q	Я Жалкий Игнот! А трусы мне нужны для одного дела, о котором вам знать не следует		4		
4	A	И что ты умеешь Игнот?		5		
5	Q	Я могу сделать вам чудоотсос всего за 3 монеты.		6		
6	A	Чудоотсос? Это что какая-то магия? Если мне нужен отсос я иду к шлюхам.		7		
7	Q	Не добро ходить к шлюхам! Я все сделаю лучше, а вы получите +10% к опыту на целую неделю!		8		GainEffect#xpbonus,7560,10
8	A	Хммм неделю говоришь? Чтож я согласен		9		LoseGold#3
8	A	Нет..Что-то не хочется		0		
9	Q	[BLUE](Игнот хватает вас своими сильными руками, срывает броню словно тряпку и оттарабанивает в зад дико хохоча. Мучение продолжалось в течении 12 часов)[] Впрочем прибавку к опыту вы все равно получили)[] Ахахахахахах! Я опять напиздел вам!		10		"FullRest#;Sleep#"
10	A	АААААААА!!!! Ты обманул меня подлец! [BLUE](Медленно уйти враскоряку из этого ужасного места)[]		0		
