index	type	text	text_ES	Go To	conditions	actions	
1	Q	[BLUE](You walk a dark corridor until a loud clanking makes you jump. You are trapped in a metallic cage! To make things worse, a green cloud of poison raises, suffocating you. At the other side of the iron bars you see archers pointing at you. A familiar voice greets you)[] Welcome, bounty hunter.	[BLUE](Pasas la puerta y recorres un oscuro pasillo hasta que un fuerte ruido te sobresalta. Estás atrapado en una jaula de hierro. Una verdosa nube de veneno de escorpion te nubla la vista y quema tus pulmones. Al otro lado de la reja ves a arqueros apuntándote.)[]	2	VariableEqual#snake_gang,40		
1	Q	[BLUE](You walk a dark corridor until a loud clanking makes you jump. You are trapped in a metallic cage! At the other side of the iron bars you see archers pointing at you. A familiar voice greets you)[] Welcome, bounty hunter.	[BLUE](Pasas la puerta y recorres un oscuro pasillo hasta que un fuerte ruido te sobresalta. Estás atrapado en una jaula de hierro.Al otro lado de la reja ves a arqueros apuntándote.)[]	2	VariableEqual#snake_gang,50		
1	Q			0			
2	A	Zilda? The girl from the harbor? What are you doing here?	¿Zilda, la chica del puerto? ¿Qué estás haciendo aquí?	3			
3	Q	You still don't get it...[BLUE](Smiles)[] Call me Snake!	Aun no lo entiendes... [BLUE](Sonríe)[]. Llámame Serpiente. 	4			
4	A	Wait a minute... [BLUE](Cough)[] Turn the gas off, I'm not your enemy!	Espera un minuto... [BLUE](Toser)[] Para este gas, ¡No soy tu enemigo!	15	VariableEqual#snake_gang,40		
4	A	You are dead, [BLUE](Cough)[] your traps and tricks won't work with me. The Governor shall have your head very soon.	Estás muerta, [BLUE](Toser)[] tus trampas y trucos no funcionan conmigo. El Gobernador tendrá tu cabeza muy pronto.	30	VariableEqual#snake_gang,40		
4	A	A pleasure to meet you. I see you're a cautious one. Now release me and let us talk.	Un placer. Veo que eres muy cautelosa. Ahora suéltame y hablemos.	5			
4	A	Release me, or else...!	¡Suéltame, o si no...!	5			
5	Q	We can talk just fine as we are now. You said you need the Shard located inside the Golden Cove Bank. And I've heard of your reputation in the north. I might be willing to help you, as I've been planning that robbery myself for a long time.	Te oigo bien desde aquí. Dijiste que necesitabas el Fragmento que hay guardado en el banco. Y conozco tu reputación en el norte. Podría ayudarte... Al fin y al cabo llevo años planeando asaltar ese banco .	21	VariableGreater#snake_shard,1		
5	Q	We can talk just fine as we are now. While you look different from those bounty hunters, I can't afford to trust you my dear. Now speak, what do you want?	Te oigo bien desde aquí. Aunque parezcas distinto a los cazarecompensas, no puedo permitirme confiar en nadie, cariño. Ahora habla, ¿Qué quieres?	6			
6	A	Stupid bandit! All I want is the reward, and cage or not I will kill you.	¡Delincuente estúpida! Quiero la recompensa, y con jaula o sin ella voy a matarte.	30			
6	A	I need your help to rob the Golden Cove Bank.	Necesito tu ayuda para robar el Banco de Bahía Dorada.	7			
7	Q	[BLUE](She remains silent for several seconds, while she narrows her eyes examining you)[] Why do you want to do it?	[BLUE](Permanece en silencio durante varios segundos mientras te mira fíjamente)[] ¿Por qué quieres hacerlo?	8			
8	A	You are a bandit, there's a bank full of gold... It really isn't that hard to understand.	Eres un bandido, hay un banco lleno de oro...  ¿Tengo que explicarte algo tan sencillo?	9			
8	A	There is a mighty artifact inside, or rather a fragment of it. It is vital to avert a great danger threatening the whole Varannar.	En su interior hay un poderoso artefacto, o más bien un fragmento. Es vital para evitar un gran peligro que amenaza todo Varannar.	20	VariableGreater#rumor_shardfriguld,0		
8	A	My reasons are my own.	Mis motivos son secretos.	9			
8	A	You are no bandit, you are a rebel fighting a tyrant. I want to help your cause.	No sois bandidos, os rebelais contra un tirano. Quiero unirme a vuestra causa.	20			INT#3
9	Q	Sorry but that won't do, I want to know the motives of those working with me. Refuse to speak and you'll be left to die where you are.	Lo siento pero eso no basta, quiero saber lo que buscan quienes trabajan conmigo. Habla o te dejaré ahí hasta que te pudras.	10			
10	A	Enough nonsense. You want to rob that bank as much as I do, and you need me for it. You know it's true.	Basta de estupideces. Quieres robar ese banco tanto como yo, y me necesitas para conseguirlo. Sabes que es cierto.	20			PER#4
10	A	It's the money, of course. What else? Let me out!	Es por el dinero, claro. ¿Qué iba a ser? ¡déjame salir!	11			
11	Q	Disappointing... if you work for money you could turn on me at the first chance. I don't want to kill you, but unfortunately I can't set you free now that you know so much.	Una pena... Si trabajas por dinero podrías traicionarme en cualquier momento. No quiero matarte pero no te puedo dejar marchar ahora que sabes demasiado.	30			
15	Q	[BLUE](Amused)[] Is that so? I seem to remember your words in the docks said otherwise... [BLUE](The poisonous cloud makes your lungs burn)[]. And don't blame me for that gas, you activated the trap yourself with that scorpion venom.	[BLUE](Divertida)[] ¿Ah si? Creo recordar que en los muelles me dijiste otra cosa... [BLUE](La nube venenosa empieza a quemar tus pulmones)[]Y no me culpes a mí del gas, lo has activado tú con ese veneno de escorpión.	16			
16	A	What did you expect me to say? I was just trying to get the information from you. What I truly want is robbing the Golden Cove Bank.	¿Que esperabas que te dijera? Intentaba obtener información. Lo que realmente quiero es robar el Banco de Cala Dorada.	7			PER#3
16	A	Stupid bandit! All I want is the reward, and cage or not I will kill you.	¡Delincuente estúpida! Quiero la recompensa, y con jaula o sin ella voy a matarte.	30			
20	Q	"Very well. For some unfathomable reason I trust you. I won't lie to you, I've planned such robbery for a very long time. But I lacked the means for it; my men are not experienced enough to survive. Maybe with your help..."	Muy bien. Por alguna extraña razón confío en tí. No te mentiré, llevo planeando ese robo durantemucho tiempo pero me faltaban medios. Mis hombres no tienen la experiencia necesaria, pero quizá contigo...	21			
21	A	Why is it important to you too?	¿Por qué es importante para tí?	22	VariableLower#TMP_g6_why,1	SetVariable#TMP_g6_why,1	
21	A	Tell me more about the Golden Cove Bank.	Cuéntame más acerca del Banco de Bahía Dorada.	24	VariableLower#TMP_g6_bank,1	SetVariable#TMP_g6_bank,1	
21	A	Will I become an Outlaw in the Kingdoms for doing this?	¿Me convertiré en un proscrito en los Reinos por hacer esto?	23	VariableLower#TMP_g6_outlaw,1	SetVariable#TMP_g6_outlaw,1	
21	A	Agreed then, let's do it. What's the plan?	Entonces de acuerdo, hagámoslo. ¿Cuál es el plan?	27	"VariableEqual#TMP_g6_why,1;VariableEqual#TMP_g6_outlaw,1"		
21	A	After careful consideration I've decided it's probably easier to simply kill you and try my luck talking to the Governor. Prepare to die.	Tras pensarlo a fondo creo que va a ser mucho más fácil matarte y probar suerte hablando con el Gobernador. Vas a morir.	30	"VariableEqual#TMP_g6_why,1;VariableEqual#TMP_g6_outlaw,1"		
22	Q	That bank not only holds gold, adventurer. There's some important documents there that may give me the Governor's head served on a silver plate.	En ese banco no sólo hay oro, aventurero. Hay importantes documentos allí que me pueden valer la cabeza del Gobernador en una bandeja de plata.	21			
23	Q	"Here in Friguld the guards will hate you, but not other people. And it might slightly affect your reputation in Mercia and Varsilia, not further north.  Unless we kill some innocent, that is; in that case, the tale will spread."	Aquí en Friguld los guardias te odiarán, pero no la gente. Puede afectar ligeramente a tu reputación en Mercia y Varsilia, pero no más al norte. A no ser que muera algún inocente, en ese caso la noticia llegaría a todas partes.	21			
24	Q	The most vile place in all the Southern Lands. It keeps the fortunes of corsairs, crime lords, and of course Varsilian nobles avoiding taxes. The Wizard's Guild helped to build it, so we can expect magical defenses, but unfortunately I don't know much more.	El lugar más perverso de las Tierras del Sur. Guarda las fortunas de Corsarios, criminales, y por supuesto nobles varsilios que no quieren pagar impuestos. El Gremio de Magos ayudó a construirlo así que podemos esperar defensas mágicas pero no sé mucho más.	25			
25	A	Can we try to sneak in?	¿Podríamos entrar a escondidas?	26			
26	Q	That is usually my tactic, but I am afraid there is only one way in: the main entrance. A magical barrier blocks the access to the vaults, but I'm sure we can find a way to pass through it.	"Esa suele ser mi táctica pero me temo que sólo hay una entrada: la puerta principal; una barrera mágica bloquea el paso a las zonas interiores, pero seguro que encontramos una forma de cruzarla."	21			
27	Q	Meet me at the bank desk when you're ready. Until then, stay out of trouble!	Nos veremos en el mostrador del banco cuando estés preparado. Podríamos quedar atrapados dentro, así que asegúrate de que llevas todo lo necesario. Hasta entonces, ¡no te metas en problemas!	0		"SetVariable#snake_gang,60;travel#G6_cave,3"	
30	Q	[BLUE](Ignoring you, she makes a gesture to the archers before leaving)[] Stay here until it's done, I'll be in my chamber. 	[BLUE](Ignorándote, hace un gesto a sus arqueros antes de irse)[] Quedáos aquí hasta que muera, estaré en mi habitación. 	0		"SetVariable#snake_gang,80;NPCHostile#snake_gang;NPCDespawn#zilda_cage;SetVariable#TMP_grate,0"	
