index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](The gentle thuramian lady makes a curtsey )[] I am Arabelle, from Solliga. Pleased to meet you.	[BLUE](La gentil dama thuramia te hace una reverencia)[] Saludos, soy Arabelle, de Solliga. 	2			
2	A	I want to join the Wizard's Guild. Can you help me?	Quiero unirme al Gremio de Magos. ¿Puedes ayudarme?	3	VariableLower#guild_wizards,1		
2	A	Do you offer training?	¿Ofreces entrenamiento?	10			
2	A	Nevermind, goodbye.	Disculpa, me voy.	0			
3	Q	I don't think so, youngster. The Wizard's Guild raises its own apprentices. We're not a bunch of rogues or mercenaries hungry for young blood, like the other guilds. Yet if you believe yourself to be that useful to our Guild, feel free to visit the College of Magic in Icemist.	"No lo creo, joven. En el gremio de Magos educamos a nuestros propios aprendices, no somos una banda de mercenarios o delincuentes siempre reclutando sangre fresca, como los otros gremios. Aunque no sería imposible que te admitieran; si crées que puedes ser útil para el Gremio, puedes acudir a la Escuela de Magia en Icemist."	4			
4	A	How can I get to the town of Icemist?	¿Cómo puedo llegar a la ciudad de Icemist?	5			
5	Q	"More than a town, Icemist is a magical fortress. Very few are allowed in. Try to gain as much reputation as possible by helping the guild members in all four Enclaves; with their recommendation, you might be allowed to enter."	Más que una ciudad, Icemist es una fortaleza mágica y muy pocos pueden entrar. Intenta obtener buena reputación ayudando a miembros del Gremio en los cuatro Enclaves como este, y quizá con su recomendación te permitan pasar.	0			
10	Q	I sometimes instruct apprentices, yes. Nothing as fancy as what you can learn at Icemist but still useful. However, I won't train someone that is a complete stranger and hasn't earned the trust of our Guild. [BLUE](You need a reputation of at least 7 with the Wizard's Guild)[]	A veces instruyo a aprendices. No es un entrenamiento tan completo como el de Icemist, pero es útil. Sin embargo, no entrenaré a desconocidos que no se han ganado la confianza del Gremio. [BLUE](Necesitas una reputación de al menos 7 con el Gremio de Magos)[]	0	variableLower#REP_wizardsguild,7		
10	Q	I sometimes instruct apprentices, yes. Nothing as fancy as what you can learn at Icemist but still useful. However, I charge as much as the Guild does. Interested?	A veces instruyo a aprendices. No es un entrenamiento tan completo como el de Icemist, pero es útil. Sin embargo mi tarifa es la misma que la del Gremio. ¿Te interesa?	11			
11	A	What can you teach me?	¿Qué puedes enseñarme?	12			
11	A	Maybe another time, thanks.	Quizá en otro momento, gracias.	0			
12	Q	I am a specialist in the powers of the Plane of Ice.  By learning [BLUE]Ice Mastery[] you'll be able to bring fire elementals to your aid. It can also be wise to learn [BLUE]Ice Ward[] because many times you'll confront blizards that are not under your control.	Soy un especialista en el Plano del Hielo. Si aprendes [BLUE]Maestría del Hielo[] podrás llamar a elementales de hielo para que acudan en tu ayuda. Y puesto que el frío no siempre están bajo tu control, la habilidad [BLUE]Barrera: Hielo[] puede serte útil.	13			
13	A	Tell me more about Ice Mastery.	Dime más acerca de Maestría del Hielo.	0		TrainSkill#ice_mastery	
13	A	Tell me more about Ice Ward.	Dime más acerca de Barrera: Hielo.	0		TrainSkill#ice_ward	
13	A	Maybe another time.	Quizá en otro momento.	0			
