index	type	text	text_ES	Go To	conditions	actions
1	Q	 [BLUE](слащавого вида молодой паренёк)[] Эй, вы ещё долго будете там возится с этой колымагой? Я уже запарился здесь торчать, мне давно уже положено находиться в Нью-Антуре!	¿po?	2			
2,artist_2	Q	[BLUE](не менее слащавый на вид второй молодой паренёк)[] Ох, да ладно, никуда они там в Нью-Антуре не денутся, будут ждать нас сколько угодно.	po.	3		
3,artist_1	Q	 Да мне плевать на это, я устал и меня заели комары, я хочу побраться до приличного местечка и, наконец-то, нормально отдохнуть!	¿po?	4		
4,alice	Q	Похоже, это и есть те музыканты, которых мы ищем. 	po.	5		
5,artist_1	Q	 Эй, а вы кто ещё такие?	¿po?	6		
6,artist_2	Q	Наверно фанаты, тащились за нами с Ланнегера, чтоб получить автографы, да? Верно я говорю?	po.	7		
7,alice	Q	 Нет, не угадал...	¿po?	8		
8,artist_1	Q	 Что же ты тогда желаешь получить от лучшего вокалиста королевства?	¿po?	9		
9,alice	Q	 Лучшего? Ты это серьёзно? Ты же просто быстро говоришь какую-ту чепуху под монотоное битьё по барабану твоим дружком.	¿po?	10		
10,artist_1	Q	 Это речитатив, детка!	¿po?	11		
11,artist_2	Q	Плюс мой бит, детка!	po.	12		
12,alice	Q	 Чего? Что это за бред вы несёте?	¿po?	13		
13,artist_2	Q	Такой деревенщине, как ты, сложно понять такие понятие, тебе нужно просто слушать наше музло и получать удовольствие!	po.	14		
14,alice	Q	 Это вы двое более похожи на выходцев из деревни, получавшие вдохновение для своего творчества, вслушиваясь в пердёж коров, после чего стали выдавать свои песенки, являющиеся тем, что выдают те самые коровы из свои задниц!	¿po?	15		
15,artist_1	Q	 Хватит с меня, мне приходится торчать в этой невыносимой дыре, так ещё и терпеть какую-ту местную дурочку!	¿po?	16		
16,alice	Q	 И что ты сделаешь? Прогонишь меня с помощью своего блеяния, именуемый тобою вокалом?	¿po?	17		
17,artist_2	Q	У нас есть толпы фанатов, достаточно свиснуть, и они примчатся сюда, и ты очень пожелеешь о тех гадостях, что говорила в нас адрес!	po.	18		
18,alice	Q	 Да неужели? Очередной безтолковый трёп?	¿po?	19		
19,artist_2	Q	Хочешь это проверить, детка?	po.	0		"NPCHostile#bodyguard_artist;NPCHostile#artist_1;NPCHostile#artist_2;NPCSpawn#fan_team;SetVariable#artist_talk,2"
