index	type	text	text_ES	Go To	conditions	actions	
1	Q	This was Tremadan's workbench, the place where the legendary Archmage imbued artifacts or toyed with the fundamental laws of nature.	Esta era la mesa de trabajo de Tremadan, el lugar en el que el Archimago encantaba artefactos, o jugaba con las Fuerzas de la Naturaleza.	2			
2	A	Let's investigate! It will probably be safe.	¡Vamos a echar un vistazo! Seguro que no hay peligro.	3			
2	A	I can't think of a good reason to disturb this table.	No se me ocurre ninguna buena razón para tocar nada.	0			
2	A	I think I have all the ingredients. Three diamonds, three pearls, three white wolf pelts.	Creo que tengo los ingredientes. Tres diamantes, tres perlas, tres pieles de lobo blanco.	10	"VariableEqual#masters_laboratory,40;PlayerHasItems#2004,3;PlayerHasItems#2015,3;PlayerHasItems#1004,3"		
3	Q	As you already completed crafting the Bag of Holding, there's nothing else of interest here.	Puesto que ya creaste la Bolsa de Contención, aquí ya no hay nada de interés.	0	VariableGreater#masters_laboratory,40		
3	Q	You already deciphered the needed ingredients to complete the enchantment, and noted them down on your journal.	Ya descifraste los ingredientes necesarios para completar el encantamiento, y los apuntaste en tu diario.	0	VariableEqual#masters_laboratory,40		
3	Q	You already tried to decipher Tremadan's notes but they're too complex for you. Maybe someone else could help you.	Ya has intentado descifrar las notas de Tremadan pero son demasiado complejas para tí. Quizá alguien podría ayudarte.	0	VariableEqual#masters_laboratory,30		
3	Q	You examine the items on the table. It is obvious the great Tremadan was working on enchanting some kind of magic item. There are handwritten notes describing the process, but it looks extremely complex.	Examinas los objetos de la mesa. Está claro que el gran Tremadan estaba encantando un objeto. Hay unas notas manuscritas, pero parecen muy complejas.	4			
4	A	Dimensional space... Planar bindings... This is too complicated for me.	Espacios dimensionales... Conexiones de planos... Esto es demasiado complicado para mí.	0		SetVariable#masters_laboratory,30	
4	A	[BLUE](Sit down and study the notes thoroughly)[] Let's see if I can make head or tails of this.	[BLUE](Sentarse y estudiar las notas a fondo)[] Veamos si puedo comprender qué es esto...	5			INT#3
5	Q	You are sure Tremadan was creating an item of great power, related with dimensions and connections between them. But the exact nature of the object eludes you. However, the enchanting spell has been done, and all you need is gather the missing ingredients, and follow the instructions.	Estás seguro de que Tremadan estaba creando un objeto de gran poder, relacionado con las dimensiones y las conexiones entre ellas. Pero no sabes exáctamente de que se trata. Eso sí, el encantamiento estaba casi completo, sólo faltaban algunos ingredientes que quizá tú podrías traer.	6			
6	A	Check the missing ingredients.	Comprobar los ingredientes que faltan.	7			
7	Q	Unfortunately the description is a bit cryptic:  'Three of the noblest gems, three tears from the Sea Queen, three coats of the pale hunters'.	Parece que la descripción es algo enrevesada:  'Tres de las más nobles gemas. Tres lágrimas de la Reina del Mar. Tres Capas del Cazador Pálido'	0		SetVariable#masters_laboratory,40	
10	Q	The incantations were very much ready, because as soon as you gather the missing ingredients the items begin to float in mid-air and glow. You need to look away, blinded. When you examine the table again, all you see is a strange leather bag.	Los encantamientos estaban preparados, porque tan pronto como acercas los ingredientes estos se ponen a flotar en el aire y a brillar. Apartas la mirada, cegado, y al volver a mirar poco después lo único que queda es una extraña bolsa de cuero.	11			
11	A	Examine the bag.	Examinar la bolsa.	12			
12	Q	At first you think it's just some fancy imperial-design bag, but soon you discover you can store items inside that are much larger than the bag itself. This is a fabled [BLUE]Bag of Holding[], which you can from now on access from your character screen, clicking on a button to the bottom right.	Al principio piensas que no es más que una bolsa de moda imperial, pero pronto descubres que puedes guardar en su interior objetos más grandes que la bolsa misma. Se trata de una mítica [BLUE]Bolsa de Contención[]. Puedes acceder a ella desde la ventana de personaje, pulsando un botón a la derecha y abajo.	13		"SetVariable#masters_laboratory,100;LoseItems#2004,3;LoseItems#2015,3;LoseItems#1004,3;GainXP#1000;GainBagHolding#"	
13	Q	"[BLUE]Important note:[] putting items in the Bag is similar to them being stashed in a Vault or home chest; quests or characters will react as if you didn't have the item on you."	"[BLUE]Nota Importante:[] los objetos en la Bolsa funcionan de la misma forma que si estuvieran en tu Depósito del banco; las misiones o personajes reaccionarán como si no llevaras el objeto encima."	0			
