index	type	text	text_ES	Go To	conditions	actions
1	Q	I think this tent is Mud's house.		10	VariableEqual#guard1,1	
1	Q	I think this tent is Mud's house.		9	"VariableEqual#mad,100;VariableLower#guard1,1"	
1	Q	I think this tent is Mud's house.		2	VariableEqual#maddom,1	
1	Q	A tent...Tented, obviously someone lives in it. Interesting.		0		
2	A	To rest and sleep.		0		FullRest#
2	A	Go.		0		
3	A	A friend of mine lives here. That pesky Mud. He let me stay in this tent.		4		
4,guardlang	Q	Your friend doesn't live here anymore. Hunters recently found his corpse with signs of violent death... Looks like he's really pissed someone off....		5		
5	A	Hmm, who could it be, is anything known yet?		6		
6,guardlang	Q	Pretty much anyone...Everyone in this town has a gun, and he was hitting on everyone. Anyway, that's where the guards rest their lunch hour in this tent now.		0		SetVariable#guard1,1
7,guardlang	Q	Stop poking around. Get out of here.		11		
8,guardlang	Q	Hey hey hey hey! What are you doing, huh???		3		
9	A	To rest and sleep.		8		
9	A	Go.		0		
10	A	To rest and sleep.		7		
10	A	Go.		0		
11	A	I'm leaving now.		0		
