index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Yes, my friend?	Saludos, amigo.	11	"VariableGreater#bloody_harvest,99;NPCisFollower#"		
1	Q	Yes, my friend?	Saludos, amigo.	23	"VariableGreater#bloody_harvest,24;VariableLower#bloody_harvest,99;NPCisFollower#"		
1	Q	Yes, my friend?	Saludos, amigo.	11	NPCisFollower#		
1	Q	Hello, friend. My sister has started settling into her castle, and I'm helping her in any way I can. You can visit her if you want.	port.	65	"VariableEqual#bloody_harvest,100;VariableLower#eirenda_castle,1"		
1	Q	Hello, friend. Do you need my services as a warrior?	port.	53	VariableEqual#bloody_harvest,22		
1	Q	Hello, friend. Do you need my services as a warrior?	Hola, amigo. Necesitas de mis servicios como guerrera?	9	VariableEqual#warrior_honor,110		
1	Q	I... I can't believe it, you found my grandfather's ring! And you did it all by yourself. I am impressed by your courage.	No puedo creerlo... Recuperaste el anillo de mi abuelo! Y lo hiciste tú solo. Tu coraje me deja sin palabras.	6	"VariableEqual#warrior_honor,20;playerhasitem#2502"		
1	Q	Hello there, traveller.	Saludos, viajero. 	0	VariableEqual#warrior_honor,10		
1	Q	Hello there, traveller.	Saludos, viajero. 	0	VariableEqual#warrior_honor,100		
1	Q	Hello there, traveller. [BLUE](The armored woman salutes you, while she keeps watching the ruins' entrance)[]	Saludos, viajero. [BLUE](La mujer armada parece estar vigilando la entrada de las antiguas ruinas)[]	2			
2	A	Hello, who are you? Why are you watching over these ruins?	Hola, quién eres, y por qué vigilas estas ruinas?	3			
2	A	Hello... And goodbye, I am busy.	Hola... Y adiós, estoy ocupado.	0			
3	Q	I am Grissenda, a Warrior from Kingsbridge. I heard a rumor about this ruin holding a valuable heirloom of my family: the Ring of the Elements.	Soy Grissenda, guerrera de Kingsbridge. Estoy aquí por un rumor, que dice que en este lugar se encuentra una antigua reliquia familiar: el Anillo de los Elementos.	4			
4	A	Oh, so you are planning to go in? Maybe we could go together!	Ah, entonces ¿planeas entrar? Quizá podamos hacerlo juntos!	5			
5	Q	[BLUE](The woman looks down, saddened and ashamed)[]No... I failed. I went down, and the undead overwhelmed me. I fled. I failed.	[BLUE](La mujer parece triste y avergonzada, y mira hacia el suelo)[]No... He fallado. Lo intenté pero los muertos vivientes eran demasiado fuertes. Escapé. Fracasé.	14		SetVariable#warrior_honor,10	
6	A	Yes, I did. Here, take it, it is yours. I know it's important for you.	Si, lo hice. Tómalo, es tuyo. Sé que es importante para ti.	7		"SetVariable#warrior_honor,110;loseitem#2502;IncVariable#REP_varsilia,3;GainXP#300"	
6	A	Yes, but I am going to keep it, because I am the one who earned it after all.	Si, pero pienso quedármelo. Al fin y al cabo, yo hice todo el trabajo.	8		"SetVariable#warrior_honor,100;GainXP#300"	
7	Q	You are truly a honorable friend. I will never forget this. If you ever need that ring, just ask. Would you like me to accompain you in your adventures? I want to become a great knight, and I sense a great destiny in you.	Eres un verdadero amigo, y una persona honorable. Nunca olvidaré esto. Si alguna vez necesitas el anillo, pídemelo. Si lo deseas, te seguiré en tus aventuras y ayudaré en lo que pueda. Quiero convertirme en Caballero, y siento que el destino te ha escogido para algo grande.	9			
8	Q	"You are right, of course; you earned it. At least I can now be at ease knowing it's not in some monster's den."	Por supuesto. Te lo has ganado. Quedo tranquila sabiendo que no está en poder de una panda de monstruos.	0			
