progress	description	description_ES	actions
0	The Snake Gang	La Banda de la Serpiente	
10	There's a feared band of thieves around Friguld, and the Governor offers reward of [BLUE]3,000 gold[] for the head of their leader, called The Snake. 	"Hay una temida de ladrones cerca de Friguld; el gobernador ofrece una recompensa de [BLUE]3,000 monedas[] por la cabeza de su lider, a quien llaman Serpiente. "	
20	I learned an interesting rumor about the Snake gang. One of their members used to frequent a girl called Zilda. She can be found in the Friguld dock at nights.	He oido un rumor interesante acerca de la banda de la Serpiente. Uno de sus miembros solía verse con una chica llamada Zilda. Se la puede encontrar en el puerto de Friguld por las noches.	
30	I found Zilda in the Friguld docks, but she refused to share any information with me about the gang.	Encontré a Zilda en los muelles de Friguld, pero se niega a darme información sobre la banda.	
40	I know the location of the Snake Gang: an old ruin in the Emerald Valley. But the magical door will only open if I say the password 'Trelaxx' while pouring [BLUE]scorpion venom[] over it.	He averiguado dónde está el escondite de la Banda de la Serpiente: una antigua ruina en el Valle Esmeralda. Pero la puerta mágica sólo se abrirá si digo la contraseña 'Trelaxx' mientras vierto [BLUE]veneno de escorpión[] sobre ella.	
50	I know the location of the Snake Gang: an old ruin in the Emerald Valley. But the magical door will only open if I say the password 'Trelaxx' while pouring water over it.	He averiguado dónde está el escondite de la Banda de la Serpiente: una antigua ruina en el Valle Esmeralda. Pero la puerta mágica sólo se abrirá si digo la contraseña 'Trelaxx' mientras vierto agua sobre ella.	
60	I met the leader of the thieves band, the infamous Snake. She has offered me to join them in the assault to the Golden Cove Bank, and I accepted. We will meet inside the bank.	He conocido a la líder de la banda de ladrones, la infame Serpiente. Me ha ofrecido unirme al asalto del Banco de Cala Dorada, y he aceptado. Nos veremos en el banco.	
70	I joined forces with the Snake to rob the Golden Cove Bank. The way out is blocked, but she told me there is an escape in the secret treasure vault. I need to find it!	Me he unido a La Serpiente para robar el Banco de Cala Dorada. La salida está bloqueada, pero ella me asegura que en la cámara del tesoro hay una salida. Debemos encontrarla.	
80	I confronted the Snake and her gang in the lair in Emerald Valley.	Me he enfrentado a La Serpiente y su banda en su guarida del Valle Esmeralda.	
90	I slaughtered the Snake and her gang, I should probably go to the Governor's manor to claim the reward. They'll probably want the Serpent's necklace as proof.	He masacrado a la Serpiente y su banda, probablemente debería ir a la mansión del gobernador y reclamar la recompensa. Posiblemente quieran el colgante de la Serpiente como prueba.	
100	I got rid of the Snake and her gang and was rewarded by the Governor of Friguld.	Acabé con la Serpiente y su banda y fuí recompensado por el Gobernador de Friguld.	
110	I robbed the Golden Cove Bank!	He robado el Banco de Cala Dorada!	
