index	type	text	text_ES	Go To	conditions	actions	
1	Q	We meet again, greetings. As soon as I catch a swampdonkey, we'll pack and leave.	Nos vemos de nuevo, saludos. En cuanto atrape una mula de los pantanos, Renda y yo nos marcharemos.	0	VariableEqual#odd_couple,100		
1	Q	Gurr...  GUUUURRRRRRR!!!! [BLUE](He takes the witch's doll and throws it into the nearby fire. A flash of light blinds you for a moment, and after it passes, you see Gurr looking at his green and monstruous hands)[] Why it didn't work? Destroying the doll should have stopped the curse.	"Gurr...  ¡¡¡GUUUURRRRRRR!!! [BLUE](Toma el muñeco de la bruja y lo arroja al fuego, surge una gran luz; cuando ha pasado, ves que Gurr está mirando sus manos verdes y monstruosas)[] No ha funcionado... ¡Destruir el muñeco tendría que haber terminado el encantamiento!"	30	PlayerHasItem#2524		
1	Q	Gurr...  GUUUURRRRRRR!!!! [BLUE](Unlike other trolls, this towering monster is not aggressive, and even seems to try to communicate with you)[]	Gurr...  ¡¡¡GUUUURRRRRRR!!! [BLUE](Al contrario que otros trolls, esta bestia no parece agresiva, y podría estar intentando comunicarse)[]	2			
2	A	Die, monster! [BLUE](Attack)[]	¡Muere, monstruo! [BLUE](Atacar)[]	20			
2	A	This is weird. You better behave.	Esto es muy raro. Más te vale portarte bien.	0			
2	A	Hello? Is it true that you understand what we say?	¿Hola? ¿Es cierto que entiendes mi idioma?	10	VariableEqual#odd_couple,10		
10	Q	Guuuuurrrr... [BLUE](He nods, then makes some confusing signs, pointing to you, then to himself)[]	Guuuuurrrr... [BLUE](Asiente, y hace unos gestos confusos, señalándose a sí mismo, y luego a tí.)[]	11			
11	A	Wait, you are trying to tell me something... I got it!	Espera... Estás intentando decirme algo... ¡Ya lo tengo!	12			
12	Q	Gurrrr?	¿Gurrrr?	13			
13	A	You are trying to tell me that you are hungry. Get away from me, beast!	Intentas decirme que tienes hambre. Aléjate de mí, bestia!	14			
13	A	You are trying to tell me that you find me very handsome. I'm flattered but no, thanks. It's not you, it's me.	Intentas decirme que te gusto. Me siento halagado... Pero no, gracias. No es por tí, es por mí.	15			
13	A	I actually have no idea what you're trying to tell me...	La verdad... No tengo ni idea de qué me intentas decir.	14			
13	A	You don't move or behave like a troll. You are trying to tell me that you are human, like me.	no te mueves ni actuas como un troll. Intentas decirme que eres humano, como yo.	25			INT#1
14,hirge	Q	Actually... Look at it closely, friend. This creature is not a troll, at all. His demeanor and gestures are human. My instinct tells me, this is a human being that somehow ended up looking like this.	En realidad... Fíjate atentamente, amigo mio. Esta criatura no es un troll. Sus gestos son humanos. Mi intuición me dice que es un ser humano que por algún motivo, ahora tiene este aspecto.	24	NPCIsInParty#hirge,hirge		
14	Q	[BLUE](The monster throws up his arms in frustration and turns his back to you)[]	[BLUE](El monstruo levanta los brazos, frustrado, y se da la vuelta)[]	0			
15	Q	[BLUE](The monster produces some odd gurgling sounds... First time you hear a troll laughing. Then shakes his head and turns his back to you)[]	[BLUE](El monstruo produce unos extraños sonidos bornoteantes... Es la primera vez que oyes reir a un troll. Finalmente se da la vuelta)[]	0			
18	Q	You are doing the right thing. He wrote this letter to his father, explaining why he left, but never sent it. Good luck, adventurer.	Has hecho lo correcto. Giles escribió esta carta a su padre, para contarle qué pasó, pero nunca la envió. Buena suerte, aventurero.	0			
20	Q	Gurr... [BLUE](The creature seems saddened, but quickly wields a huge maul and confronts you)[]	Gurr... [BLUE](La criatura parece entristecida, pero empuña un enorme mazo y se enfrenta a tí)[]	0		"SetVariable#odd_couple,110;NPCHostile#gurr"	
24	A	Is that so?... Are you human, Gurr?	¿Es eso cierto? ¿Eres humano, Gurr?	25			
25,R	Q	[BLUE](The monster nods vehemently, and seems agitated... It is somewhat terrifying to see an excited troll so close, without your weapons in the middle.)[] Gurrr! GUUUUUUUUUUUUURRR!!! [BLUE](He gives you a small brass key, and then points at the other side of the river)[]	[BLUE](El monstruo asiente con la cabeza, excitado... Es terrorífico ver a un troll en esa actitud, y tan cerca, sin tener tus armas de por medio)[] Gurr.... GUUUUUUUUURRRRRRR!!! [BLUE](Te da una pequeña llave de cobre, y señala al otro lado del rio)[]	0		"SetVariable#odd_couple,20;GainItem#2523"	
30	A	You are still a troll, yes. But now you can talk.	Es cierto, sigues siendo un troll, pero ahora puedes hablar.	31			
31	Q	True, I was slowly becoming a troll even in my mind, but at least the process has stopped. Now I can remember: my life as a knight, my battle with that vile enchanter. But I thought I would go back to my old form, as well... 	Ciertamente. Mi mente también se estaba convirtiendo en la de un troll, pero ahora el proceso se ha detenido, y recuerdo mi vida como caballero, y mi lucha contra ese perverso encantador. Pero yo pensaba que mi cuerpo volvería a ser el que era...	32			
32	A	I see. You will remain a troll, then, and I can't tolerate a troll to live. Time to burn.	Ya veo. Vas a seguir siendo un troll, entonces, y yo no puedo permitir que un troll viva. Hora de arder.	0		"SetVariable#odd_couple,110;NPCHostile#gurr"	
32	A	That's not good news. I am sorry.	Eso no son buenas noticias. Lo siento.	33			
33	Q	"It is better news than no news, at least. Finally I can talk to Renda, and maybe we can travel the Kingdoms together and find a solution. Thank you, friend, please have this necklace as reward; I took it from the enchanter's lair, and I have little use for it."	"Es mejor que nada, al menos. Ahora puedo hablar con Renda, y quizá podamos viajar juntos por los Reinos y encontrar una solución. Gracias, amigo, toma este colgante que encontré en la guarida del hechicero; a mi no me sirve."	0		"SetVariable#odd_couple,100;LoseItem#2524;GainXP#700;GainItem#4007"	
