index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Oh, my ring! Now I can forget about the time lost with that fool. Thank you, here is your reward.	¡Mi anillo! Por fin puedo olvidarme de ese estúpido, y recuperar el tiempo perdido. Toma tu recompensa.	16	"PlayerHasItem#2520;variableLower#apprentice_none,100;variableGreater#apprentice_none,9"	"SetVariable#apprentice_none,100;LoseItem#2520;IncVariable#REP_wizardsguild,2;GainXP#1000;GainItem#3504"	
1	Q	Welcome again.No progress, I see... I appear to be always surrounded by inepts.	Bienvenido de nuevo. Ya veo, sin noticias... Parece que siempre me rodeo de ineptos.	2	"VariableGreater#apprentice_none,9;VariableLower#apprentice_none,100"		
1	Q	Welcome to the Iron Enclave of the Wizard's Guild. You are not a member of our guild, so this hall is the only part of the tower in which you will be allowed.	Bienvenido al Enclave de Hierro del Gremio de los Magos. No eres un miembro de nuestro gremio, así que este hall es la única parte de la torre que podrás visitar.	2			
2	A	I need teleportation using your magic circle.	Necesito usar vuestro círculo mágico para teleportarme.	3	VariableEqual#know_enclave,1		
2	A	Are there any jobs that I can do for the Wizard's Guild?	¿Hay alguna misión que pueda hacer para el Gremio de los Magos?	11	VariableEqual#know_enclave,1		
2	A	Do you have anything for sale?	¿Tienes algo a la venta?	0	VariableEqual#know_enclave,1	OpenShop#	
2	A	The Wizard's Guild? Enclave? We're in Mercia, I thought the wizards were in Thuram. Why the King of Mercia allows you in here?	El gremio de magos... Enclave... ? Estamos en Mercia, creía que los magos estaban en Thuram. ¿El rey de Mercia os permite estar aquí?	7	VariableLower#know_enclave,1		
2	A	Okay, thanks, but I must be going.	Vale, de acuerdo, pero me tengo que ir.	0			
3	Q	Sure, we can teleport you to one of our enclaves through the Kingdoms [BLUE](he points to a map)[]. But as you're not a member, nor an ally to our guild, the fee will be [BLUE]500 gold[].	Claro, podemos teleportarte a cualquiera de nuestros Enclaves en los Reinos. [BLUE](Te señala un mapa)[]. Pero como no eres miembro de nuestro gremio, ni tampoco nuestro aliado, el precio será de [BLUE]500 monedas[].	4			
4	A	Fine, teleport me to the Inori Enclave, near [BLUE]New Garand[]! Here is my gold.	De acuerdo, ¡telepórtame al Enclave de Inori, junto a [BLUE]New Garand[]! Aquí está el oro.	5	PlayerHasGold#500		
4	A	Fine, teleport me to the Sagar Enclave, near [BLUE]Lannegar[]! Here is my gold.	De acuerdo, ¡telepórtame al Enclave de Sagar, cerca de [BLUE]Lannegar[]! Aquí está el oro.	18	PlayerHasGold#500		
4	A	Fine, teleport me to the Great Plains Enclave, near [BLUE]Nivarian[]! Here is my gold.	De acuerdo, ¡telepórtame al Enclave de las Grandes Llanuras, cerca de [BLUE]Nivarian[]! Aquí está el oro.	20	PlayerHasGold#500		
4	A	Maybe another time.	Quizá en otro momento.	0			
5	Q	Certainly. Say when you're ready...	De acuerdo, di cuándo estás preparado...	6	IsRegistered#		
5	Q	[BLUE](You can only access this option in the full version of the game)[]	[BLUE](Sólo puedes escoger esta opción en la versión completa del juego)[]	0			
6	A	I am ready!	Estoy preparado.	0		"loseGold#500;Particle#teleport;Travel#G8_tower,2;Particle#teleport"	
