index	type	text_english	text_ES	Go To	conditions	actions
1	Q	[BLUE](у дальней стены возникло темно-фиолетовое сияние, превратившееся в портал, из него вышел человек с мантии, с которым вы уже сталкивались ранее внизу башни)[] Ну надо же, какая удача, сколько много Адаонов в одном месте. 	[BLUE]()[] port.	49	"VariableEqual#hate_through,75"		
1	Q	[BLUE](прибывшие Адаоны пришли в смятение, не понимаю что происходит, начался шум и гам, один из них выглядевший постарше, богато одетый, как дворянин и с драгоценным на вид венцом на голове особо громко выражал своё замешательство)[] Что случилось?! Как я здесь оказался?! Кто все эти жалкие мои двойники, окружающие меня?! 	port. port.	2			
2,adaon2	Q	Эй, сам ты двойник! А я настоящий и неповторимый!	port?	3			
3,outlaw	Q	Эй, дядя, ты выглядишь, как пенсионер сбежавший из приюта для стариков, и почему ты нарядился, как какой-то вельможа-толстосум?	port?	4			
4,king	Q	Заткнулись, ничтожные смерды! Вы говорите с королём Версалии Адаон первым!	port?	5			
5,scientist	Q	Чего?! Что это за безумный мир, где я... точнее мой вариант, смог стать королем Версалии?!	port?	6			
6,king	Q	Вариант? Ты выглядишь образованным, в отличии от всего этого сброда, может объяснишь, что здесь происходит?	port?	7			
7,scientist	Q	Ну, произошла ошибка, вы все Адаоны, но из разных миров, прибыли в этот мир по случайности, но спокойно и без паники, сейчас я всё исправлю и верну вас обратно!	port?	8			
8,outlaw	Q	Ты король? Серьёзно? Как это так тебе повезло? Сколько народа тебе пришлось убить или облопошить, чтобы занять трон?	port?	9			
9,king	Q	Ничего подобного! Я занял трон мирно и законно! Хотя чтобы оставаться на нём мне и приходится марать руки. Меня в детстве подобрала и усыновила одна богатая пара, своих детей они почему-то не могли иметь. Мои приёмные родитили имели большое влияние в королевским замке, им удалось организовать мне помолку с принцессой Версалии.	port?	10			
10,king	Q	Став совершенолетним, мы обручились, став супругами, а спустя год король умер, из наследников у него была лишь дочь, на которой я был женат. И вот она была коронована королевой, а я её муж - королём, так я и стал провителем Версалии.	port?	11			
11,adaon2	Q	Ох, ну надо же, как кому-то везёт в жизни!	port?	12			
12,king	Q	Что? Ты думаешьт что королем быть так просто?!	port?	13			
13,outlaw	Q	Хе. Эй, а это что за светящееся чучело? Кто ты, воин? Из какого такого мира прибыл?	port?	14			
14,prime	Q	[BLUE](этот Адаон был намного крупнее остальных, почти полностью закован в необычную броню, излучавшую свет, на поясе у него имелся огромный меч)[] Мой мир? Мой мир подчистую был уничтожен вторжением ужасов, немногим удалось выжить. В попытке избежать полного истребления, сильнейшие маги и лучшие умы мира создали эту броню, способную поглощать силы ужасов, но в решающий момент герой, который должен был одеть эти доспехи погиб, а поблизости, кроме меня никого не осталось.	port?	15			
15,prime	Q	Я смог поглотить силу всех ужасов, они исчезли, а я остался один в мёртвом и выжженом, пустом мире. Заключеная в доспехах сила постоянно терзает меня жутким голод, не позволяя мне умереть, чтобы утолить его, мне пришлось уподобится тем ужасам, вторгаться в чужие миры и поглощать всю их жизненую основу. И вот я прибыл в ваш мир!	port?	16			
